cod;nome;período;valor
13;AM;1989;136
29;BA;1989;562
23;CE;1989;203
53;DF;1989;177
32;ES;1989;361
52;GO;1989;426
21;MA;1989;166
51;MT;1989;199
50;MS;1989;175
31;MG;1989;384
15;PA;1989;328
25;PB;1989;201
41;PR;1989;457
12;AC;1989;45
17;TO;1989;30
28;SE;1989;66
35;SP;1989;2668
42;SC;1989;142
14;RR;1989;1
11;RO;1989;260
43;RS;1989;755
24;RN;1989;121
33;RJ;1989;2772
22;PI;1989;53
26;PE;1989;1607
27;AL;1989;310
16;AP;1989;19
24;RN;1990;108
43;RS;1990;917
11;RO;1990;278
14;RR;1990;8
42;SC;1990;150
35;SP;1990;2784
28;SE;1990;69
17;TO;1990;21
25;PB;1990;206
26;PE;1990;1616
41;PR;1990;488
15;PA;1990;424
31;MG;1990;444
50;MS;1990;146
51;MT;1990;164
21;MA;1990;180
52;GO;1990;349
32;ES;1990;382
53;DF;1990;259
23;CE;1990;219
29;BA;1990;486
13;AM;1990;184
16;AP;1990;14
27;AL;1990;261
12;AC;1990;29
33;RJ;1990;5236
22;PI;1990;32
15;PA;1991;448
31;MG;1991;472
50;MS;1991;191
51;MT;1991;201
21;MA;1991;182
52;GO;1991;396
32;ES;1991;440
53;DF;1991;291
23;CE;1991;227
29;BA;1991;245
13;AM;1991;222
16;AP;1991;17
27;AL;1991;234
12;AC;1991;56
26;PE;1991;1878
22;PI;1991;28
33;RJ;1991;3736
24;RN;1991;103
43;RS;1991;1031
11;RO;1991;247
14;RR;1991;15
42;SC;1991;148
35;SP;1991;2912
28;SE;1991;168
17;TO;1991;43
41;PR;1991;510
25;PB;1991;158
16;AP;1992;35
12;AC;1992;46
27;AL;1992;267
13;AM;1992;157
29;BA;1992;401
23;CE;1992;187
53;DF;1992;255
32;ES;1992;349
52;GO;1992;361
21;MA;1992;192
51;MT;1992;144
50;MS;1992;206
31;MG;1992;435
15;PA;1992;436
25;PB;1992;194
41;PR;1992;507
26;PE;1992;1621
22;PI;1992;28
33;RJ;1992;3358
24;RN;1992;101
43;RS;1992;934
11;RO;1992;215
14;RR;1992;47
42;SC;1992;141
35;SP;1992;2794
28;SE;1992;295
17;TO;1992;37
27;AL;1993;322
12;AC;1993;55
16;AP;1993;37
13;AM;1993;161
29;BA;1993;945
23;CE;1993;249
53;DF;1993;335
32;ES;1993;522
52;GO;1993;327
21;MA;1993;161
51;MT;1993;159
50;MS;1993;236
31;MG;1993;466
15;PA;1993;345
25;PB;1993;192
41;PR;1993;586
26;PE;1993;1774
22;PI;1993;26
33;RJ;1993;4062
24;RN;1993;137
43;RS;1993;637
11;RO;1993;256
14;RR;1993;39
42;SC;1993;163
35;SP;1993;3451
28;SE;1993;155
17;TO;1993;24
12;AC;1994;36
27;AL;1994;360
16;AP;1994;49
13;AM;1994;171
29;BA;1994;1073
23;CE;1994;238
53;DF;1994;354
32;ES;1994;549
52;GO;1994;401
21;MA;1994;114
51;MT;1994;138
50;MS;1994;264
31;MG;1994;409
15;PA;1994;377
25;PB;1994;172
41;PR;1994;650
26;PE;1994;1784
22;PI;1994;31
33;RJ;1994;5080
24;RN;1994;111
43;RS;1994;720
11;RO;1994;202
14;RR;1994;47
42;SC;1994;145
35;SP;1994;3868
28;SE;1994;190
17;TO;1994;25
12;AC;1995;48
27;AL;1995;447
16;AP;1995;54
13;AM;1995;170
29;BA;1995;978
23;CE;1995;341
53;DF;1995;417
32;ES;1995;557
52;GO;1995;376
21;MA;1995;152
51;MT;1995;297
50;MS;1995;388
31;MG;1995;558
15;PA;1995;362
25;PB;1995;210
41;PR;1995;748
26;PE;1995;1942
22;PI;1995;40
33;RJ;1995;6240
24;RN;1995;127
43;RS;1995;884
11;RO;1995;147
14;RR;1995;49
42;SC;1995;197
35;SP;1995;4791
28;SE;1995;121
17;TO;1995;32
12;AC;1996;56
27;AL;1996;472
16;AP;1996;80
13;AM;1996;204
29;BA;1996;1368
23;CE;1996;320
53;DF;1996;402
32;ES;1996;597
52;GO;1996;403
21;MA;1996;174
51;MT;1996;386
50;MS;1996;418
31;MG;1996;559
15;PA;1996;318
