cod;nome;período;valor
52;GO;1979;18
51;MT;1979;0
50;MS;1979;6
43;RS;1979;20
42;SC;1979;5
41;PR;1979;38
35;SP;1979;135
33;RJ;1979;69
32;ES;1979;11
31;MG;1979;73
29;BA;1979;17
28;SE;1979;4
27;AL;1979;6
26;PE;1979;41
25;PB;1979;12
24;RN;1979;6
23;CE;1979;17
22;PI;1979;4
21;MA;1979;5
17;TO;1979;0
16;AP;1979;1
15;PA;1979;19
14;RR;1979;1
13;AM;1979;4
12;AC;1979;0
11;RO;1979;3
53;DF;1979;4
35;SP;1980;171
11;RO;1980;4
12;AC;1980;2
13;AM;1980;9
14;RR;1980;2
15;PA;1980;19
16;AP;1980;0
17;TO;1980;0
21;MA;1980;7
22;PI;1980;3
23;CE;1980;11
24;RN;1980;5
25;PB;1980;13
26;PE;1980;55
27;AL;1980;19
28;SE;1980;6
29;BA;1980;18
31;MG;1980;51
32;ES;1980;16
33;RJ;1980;104
41;PR;1980;35
42;SC;1980;11
43;RS;1980;23
50;MS;1980;10
51;MT;1980;1
52;GO;1980;28
53;DF;1980;7
53;DF;1981;11
22;PI;1981;3
23;CE;1981;23
24;RN;1981;10
25;PB;1981;13
26;PE;1981;69
27;AL;1981;27
28;SE;1981;3
29;BA;1981;15
31;MG;1981;72
32;ES;1981;28
33;RJ;1981;79
35;SP;1981;176
41;PR;1981;37
42;SC;1981;10
43;RS;1981;29
50;MS;1981;14
51;MT;1981;7
52;GO;1981;28
12;AC;1981;1
13;AM;1981;7
14;RR;1981;3
15;PA;1981;25
11;RO;1981;7
16;AP;1981;2
17;TO;1981;0
21;MA;1981;6
26;PE;1982;49
53;DF;1982;6
52;GO;1982;29
51;MT;1982;2
50;MS;1982;12
43;RS;1982;30
42;SC;1982;14
41;PR;1982;50
35;SP;1982;177
33;RJ;1982;70
32;ES;1982;12
31;MG;1982;61
29;BA;1982;36
28;SE;1982;6
27;AL;1982;15
25;PB;1982;16
24;RN;1982;5
23;CE;1982;14
22;PI;1982;4
21;MA;1982;2
17;TO;1982;0
16;AP;1982;1
15;PA;1982;16
14;RR;1982;2
13;AM;1982;8
12;AC;1982;2
11;RO;1982;11
25;PB;1983;16
52;GO;1983;34
53;DF;1983;12
51;MT;1983;4
50;MS;1983;11
43;RS;1983;21
42;SC;1983;23
41;PR;1983;36
