cod;nome;período;valor
11;RO;1989;188
12;AC;1989;56
13;AM;1989;161
14;RR;1989;61
15;PA;1989;303
16;AP;1989;29
17;TO;1989;22
21;MA;1989;174
22;PI;1989;68
23;CE;1989;299
24;RN;1989;113
25;PB;1989;193
26;PE;1989;1326
27;AL;1989;339
28;SE;1989;64
29;BA;1989;574
31;MG;1989;546
32;ES;1989;349
33;RJ;1989;2310
35;SP;1989;5522
41;PR;1989;501
42;SC;1989;168
43;RS;1989;806
50;MS;1989;168
51;MT;1989;180
52;GO;1989;344
53;DF;1989;185
11;RO;1990;223
12;AC;1990;33
13;AM;1990;207
14;RR;1990;63
15;PA;1990;376
16;AP;1990;22
17;TO;1990;22
21;MA;1990;199
22;PI;1990;52
23;CE;1990;253
24;RN;1990;92
25;PB;1990;185
26;PE;1990;1377
27;AL;1990;284
28;SE;1990;88
29;BA;1990;437
31;MG;1990;520
32;ES;1990;384
33;RJ;1990;3833
35;SP;1990;5640
41;PR;1990;537
42;SC;1990;158
43;RS;1990;886
50;MS;1990;156
51;MT;1990;155
52;GO;1990;309
53;DF;1990;251
28;SE;1991;131
53;DF;1991;293
52;GO;1991;397
51;MT;1991;172
50;MS;1991;167
43;RS;1991;823
42;SC;1991;147
41;PR;1991;519
35;SP;1991;5601
33;RJ;1991;2640
32;ES;1991;413
31;MG;1991;541
29;BA;1991;266
27;AL;1991;239
26;PE;1991;1426
25;PB;1991;183
24;RN;1991;119
23;CE;1991;303
22;PI;1991;43
21;MA;1991;227
17;TO;1991;33
16;AP;1991;30
15;PA;1991;380
14;RR;1991;33
13;AM;1991;241
12;AC;1991;59
11;RO;1991;196
12;AC;1992;61
13;AM;1992;178
14;RR;1992;47
15;PA;1992;353
16;AP;1992;43
17;TO;1992;23
21;MA;1992;162
22;PI;1992;41
23;CE;1992;265
24;RN;1992;92
25;PB;1992;165
26;PE;1992;1093
27;AL;1992;243
11;RO;1992;140
28;SE;1992;212
29;BA;1992;405
31;MG;1992;481
32;ES;1992;361
33;RJ;1992;2257
35;SP;1992;5285
41;PR;1992;486
42;SC;1992;157
43;RS;1992;740
50;MS;1992;181
51;MT;1992;144
52;GO;1992;340
53;DF;1992;245
52;GO;1993;317
11;RO;1993;208
12;AC;1993;66
13;AM;1993;186
14;RR;1993;26
15;PA;1993;290
16;AP;1993;36
17;TO;1993;37
21;MA;1993;165
22;PI;1993;55
23;CE;1993;360
24;RN;1993;128
25;PB;1993;168
26;PE;1993;1416
27;AL;1993;238
28;SE;1993;159
29;BA;1993;825
31;MG;1993;533
32;ES;1993;516
33;RJ;1993;2557
35;SP;1993;5183
41;PR;1993;567
42;SC;1993;159
43;RS;1993;565
50;MS;1993;180
51;MT;1993;158
53;DF;1993;319
43;RS;1994;644
11;RO;1994;169
12;AC;1994;48
13;AM;1994;231
14;RR;1994;31
15;PA;1994;362
16;AP;1994;69
17;TO;1994;50
21;MA;1994;136
22;PI;1994;54
23;CE;1994;308
24;RN;1994;107
25;PB;1994;204
26;PE;1994;1381
27;AL;1994;257
28;SE;1994;181
29;BA;1994;963
31;MG;1994;525
32;ES;1994;517
33;RJ;1994;3091
35;SP;1994;5915
41;PR;1994;570
53;DF;1994;322
52;GO;1994;363
51;MT;1994;113
50;MS;1994;233
42;SC;1994;150
42;SC;1995;175
11;RO;1995;132
12;AC;1995;52
13;AM;1995;242
14;RR;1995;46
15;PA;1995;321
16;AP;1995;72
17;TO;1995;39
21;MA;1995;173
22;PI;1995;53
23;CE;1995;424
24;RN;1995;106
