cod;nome;período;valor
53;DF;1989;308
11;RO;1989;443
12;AC;1989;89
13;AM;1989;289
14;RR;1989;100
15;PA;1989;615
16;AP;1989;36
17;TO;1989;49
21;MA;1989;382
22;PI;1989;125
23;CE;1989;560
24;RN;1989;222
25;PB;1989;409
26;PE;1989;2379
27;AL;1989;739
28;SE;1989;124
29;BA;1989;1000
31;MG;1989;1047
32;ES;1989;763
33;RJ;1989;3980
35;SP;1989;8508
41;PR;1989;1004
42;SC;1989;315
43;RS;1989;1419
50;MS;1989;330
51;MT;1989;440
52;GO;1989;717
27;AL;1990;663
11;RO;1990;517
12;AC;1990;58
13;AM;1990;332
14;RR;1990;107
15;PA;1990;669
16;AP;1990;40
17;TO;1990;47
21;MA;1990;410
22;PI;1990;104
23;CE;1990;510
24;RN;1990;180
25;PB;1990;399
26;PE;1990;2522
28;SE;1990;138
29;BA;1990;782
31;MG;1990;1029
32;ES;1990;791
33;RJ;1990;6614
35;SP;1990;8824
41;PR;1990;1041
42;SC;1990;341
43;RS;1990;1547
50;MS;1990;306
51;MT;1990;376
52;GO;1990;620
53;DF;1990;423
25;PB;1991;361
11;RO;1991;455
12;AC;1991;97
13;AM;1991;384
14;RR;1991;70
15;PA;1991;737
16;AP;1991;49
17;TO;1991;83
21;MA;1991;416
22;PI;1991;92
23;CE;1991;554
24;RN;1991;202
26;PE;1991;2706
27;AL;1991;590
28;SE;1991;287
29;BA;1991;528
31;MG;1991;1071
32;ES;1991;872
33;RJ;1991;4672
35;SP;1991;8896
41;PR;1991;1073
42;SC;1991;317
43;RS;1991;1538
50;MS;1991;338
51;MT;1991;403
52;GO;1991;741
53;DF;1991;437
51;MT;1992;316
11;RO;1992;360
12;AC;1992;94
13;AM;1992;321
14;RR;1992;86
15;PA;1992;701
16;AP;1992;69
17;TO;1992;60
21;MA;1992;395
22;PI;1992;82
23;CE;1992;493
24;RN;1992;184
52;GO;1992;703
25;PB;1992;319
26;PE;1992;2352
53;DF;1992;384
27;AL;1992;538
28;SE;1992;420
29;BA;1992;758
