cod;nome;período;valor
13;AM;1996;0
17;TO;1996;0
28;SE;1996;0
35;SP;1996;24
42;SC;1996;0
14;RR;1996;0
11;RO;1996;0
43;RS;1996;0
24;RN;1996;0
33;RJ;1996;0
22;PI;1996;0
26;PE;1996;0
41;PR;1996;0
25;PB;1996;0
15;PA;1996;0
31;MG;1996;0
50;MS;1996;0
51;MT;1996;0
21;MA;1996;0
52;GO;1996;0
32;ES;1996;0
53;DF;1996;0
23;CE;1996;0
29;BA;1996;0
12;AC;1996;0
27;AL;1996;0
16;AP;1996;0
21;MA;1997;18
12;AC;1997;3
27;AL;1997;8
16;AP;1997;7
13;AM;1997;25
29;BA;1997;11
23;CE;1997;20
53;DF;1997;31
32;ES;1997;20
52;GO;1997;16
51;MT;1997;23
50;MS;1997;0
31;MG;1997;60
15;PA;1997;23
25;PB;1997;8
41;PR;1997;4
26;PE;1997;37
22;PI;1997;8
33;RJ;1997;294
24;RN;1997;10
43;RS;1997;23
11;RO;1997;4
14;RR;1997;2
42;SC;1997;1
35;SP;1997;151
28;SE;1997;3
17;TO;1997;4
16;AP;1998;9
29;BA;1998;24
23;CE;1998;11
53;DF;1998;37
32;ES;1998;32
52;GO;1998;12
21;MA;1998;18
51;MT;1998;46
50;MS;1998;2
31;MG;1998;92
15;PA;1998;45
25;PB;1998;5
41;PR;1998;22
26;PE;1998;65
22;PI;1998;12
33;RJ;1998;255
24;RN;1998;7
43;RS;1998;30
11;RO;1998;7
14;RR;1998;9
42;SC;1998;2
35;SP;1998;351
28;SE;1998;5
17;TO;1998;12
12;AC;1998;1
13;AM;1998;45
27;AL;1998;18
15;PA;1999;31
12;AC;1999;2
27;AL;1999;30
16;AP;1999;16
13;AM;1999;45
29;BA;1999;41
23;CE;1999;34
53;DF;1999;40
32;ES;1999;45
52;GO;1999;28
21;MA;1999;14
51;MT;1999;34
50;MS;1999;13
31;MG;1999;110
25;PB;1999;7
41;PR;1999;30
26;PE;1999;143
22;PI;1999;6
33;RJ;1999;265
24;RN;1999;13
43;RS;1999;21
11;RO;1999;15
14;RR;1999;6
42;SC;1999;1
35;SP;1999;412
28;SE;1999;12
17;TO;1999;9
12;AC;2000;7
29;BA;2000;90
23;CE;2000;51
53;DF;2000;32
32;ES;2000;49
52;GO;2000;53
21;MA;2000;24
51;MT;2000;47
41;PR;2000;22
26;PE;2000;202
50;MS;2000;30
31;MG;2000;125
15;PA;2000;55
25;PB;2000;32
22;PI;2000;8
33;RJ;2000;265
24;RN;2000;10
43;RS;2000;22
11;RO;2000;22
14;RR;2000;12
42;SC;2000;9
35;SP;2000;378
28;SE;2000;15
17;TO;2000;10
27;AL;2000;46
13;AM;2000;28
16;AP;2000;4
23;CE;2001;58
12;AC;2001;5
27;AL;2001;31
16;AP;2001;9
13;AM;2001;45
29;BA;2001;81
53;DF;2001;34
32;ES;2001;58
52;GO;2001;61
21;MA;2001;36
51;MT;2001;56
50;MS;2001;31
31;MG;2001;119
15;PA;2001;74
25;PB;2001;31
41;PR;2001;24
26;PE;2001;206
22;PI;2001;24
33;RJ;2001;306
24;RN;2001;17
43;RS;2001;17
11;RO;2001;35
14;RR;2001;6
42;SC;2001;7
35;SP;2001;379
28;SE;2001;15
17;TO;2001;14
24;RN;2002;12
12;AC;2002;8
27;AL;2002;39
16;AP;2002;8
13;AM;2002;27
29;BA;2002;88
23;CE;2002;48
53;DF;2002;36
32;ES;2002;71
52;GO;2002;68
21;MA;2002;31
51;MT;2002;53
50;MS;2002;35
31;MG;2002;151
15;PA;2002;62
25;PB;2002;26
41;PR;2002;35
26;PE;2002;178
22;PI;2002;18
33;RJ;2002;284
43;RS;2002;34
11;RO;2002;25
14;RR;2002;9
42;SC;2002;9
35;SP;2002;363
28;SE;2002;22
17;TO;2002;16
27;AL;2003;39
17;TO;2003;17
28;SE;2003;16
35;SP;2003;378
42;SC;2003;8
14;RR;2003;5
11;RO;2003;29
43;RS;2003;23
24;RN;2003;16
33;RJ;2003;277
22;PI;2003;24
26;PE;2003;187
41;PR;2003;32
25;PB;2003;25
15;PA;2003;78
31;MG;2003;199
50;MS;2003;27
51;MT;2003;53
21;MA;2003;58
52;GO;2003;74
32;ES;2003;67
53;DF;2003;45
16;AP;2003;12
23;CE;2003;40
13;AM;2003;30
29;BA;2003;100
12;AC;2003;7
23;CE;2004;44
12;AC;2004;7
27;AL;2004;42
16;AP;2004;14
13;AM;2004;34
29;BA;2004;155
53;DF;2004;43
32;ES;2004;69
52;GO;2004;64
21;MA;2004;44
51;MT;2004;60
50;MS;2004;30
31;MG;2004;230
15;PA;2004;77
25;PB;2004;47
41;PR;2004;41
26;PE;2004;206
22;PI;2004;14
33;RJ;2004;251
24;RN;2004;13
43;RS;2004;26
11;RO;2004;13
14;RR;2004;3
42;SC;2004;7
35;SP;2004;285
28;SE;2004;15
17;TO;2004;14
23;CE;2005;45
14;RR;2005;9
42;SC;2005;6
35;SP;2005;260
28;SE;2005;22
17;TO;2005;15
11;RO;2005;30
43;RS;2005;22
24;RN;2005;27
33;RJ;2005;273
22;PI;2005;29
26;PE;2005;226
41;PR;2005;50
25;PB;2005;45
15;PA;2005;101
31;MG;2005;212
50;MS;2005;31
51;MT;2005;51
21;MA;2005;49
52;GO;2005;83
32;ES;2005;90
53;DF;2005;32
29;BA;2005;164
12;AC;2005;8
27;AL;2005;46
16;AP;2005;13
13;AM;2005;40
51;MT;2006;42
50;MS;2006;24
31;MG;2006;238
15;PA;2006;118
25;PB;2006;49
41;PR;2006;48
26;PE;2006;261
22;PI;2006;28
33;RJ;2006;267
24;RN;2006;27
43;RS;2006;30
11;RO;2006;31
14;RR;2006;3
42;SC;2006;15
35;SP;2006;242
28;SE;2006;22
17;TO;2006;18
12;AC;2006;8
27;AL;2006;66
16;AP;2006;10
13;AM;2006;33
