cod;nome;período;valor
12;AC;1996;0
17;TO;1996;0
35;SP;1996;359
28;SE;1996;0
42;SC;1996;0
13;AM;1996;0
16;AP;1996;0
29;BA;1996;0
23;CE;1996;0
53;DF;1996;0
32;ES;1996;0
52;GO;1996;0
21;MA;1996;0
31;MG;1996;0
50;MS;1996;0
51;MT;1996;0
15;PA;1996;0
25;PB;1996;0
26;PE;1996;0
43;RS;1996;0
27;AL;1996;0
22;PI;1996;0
41;PR;1996;0
33;RJ;1996;0
24;RN;1996;0
11;RO;1996;0
14;RR;1996;0
43;RS;1997;255
23;CE;1997;298
29;BA;1997;131
16;AP;1997;80
13;AM;1997;380
27;AL;1997;132
12;AC;1997;6
33;RJ;1997;4238
32;ES;1997;283
52;GO;1997;137
21;MA;1997;189
31;MG;1997;579
50;MS;1997;1
51;MT;1997;235
15;PA;1997;260
25;PB;1997;75
26;PE;1997;624
22;PI;1997;84
41;PR;1997;70
42;SC;1997;11
28;SE;1997;50
35;SP;1997;2206
17;TO;1997;33
53;DF;1997;419
24;RN;1997;128
11;RO;1997;51
14;RR;1997;15
23;CE;1998;316
17;TO;1998;65
35;SP;1998;5785
28;SE;1998;84
42;SC;1998;36
43;RS;1998;261
14;RR;1998;100
11;RO;1998;112
24;RN;1998;126
33;RJ;1998;3891
41;PR;1998;254
22;PI;1998;90
26;PE;1998;1171
25;PB;1998;87
15;PA;1998;517
51;MT;1998;411
50;MS;1998;10
31;MG;1998;792
21;MA;1998;196
52;GO;1998;193
32;ES;1998;360
53;DF;1998;452
29;BA;1998;273
16;AP;1998;143
13;AM;1998;449
27;AL;1998;234
12;AC;1998;22
50;MS;1999;137
31;MG;1999;842
21;MA;1999;149
52;GO;1999;274
32;ES;1999;599
53;DF;1999;480
23;CE;1999;552
29;BA;1999;346
16;AP;1999;179
13;AM;1999;467
27;AL;1999;368
12;AC;1999;17
17;TO;1999;69
35;SP;1999;6594
28;SE;1999;114
42;SC;1999;45
43;RS;1999;270
14;RR;1999;88
11;RO;1999;168
24;RN;1999;135
33;RJ;1999;3994
41;PR;1999;292
22;PI;1999;91
26;PE;1999;2329
25;PB;1999;118
15;PA;1999;494
51;MT;1999;421
27;AL;2000;533
31;MG;2000;1251
21;MA;2000;254
52;GO;2000;526
32;ES;2000;673
53;DF;2000;565
23;CE;2000;708
29;BA;2000;892
16;AP;2000;128
13;AM;2000;482
50;MS;2000;303
12;AC;2000;51
24;RN;2000;171
11;RO;2000;252
14;RR;2000;101
43;RS;2000;272
42;SC;2000;56
28;SE;2000;186
35;SP;2000;6407
17;TO;2000;113
33;RJ;2000;4271
41;PR;2000;353
22;PI;2000;147
26;PE;2000;3205
25;PB;2000;383
15;PA;2000;658
51;MT;2000;608
24;RN;2001;221
52;GO;2001;667
51;MT;2001;629
15;PA;2001;799
12;AC;2001;70
27;AL;2001;589
13;AM;2001;416
16;AP;2001;164
29;BA;2001;1211
23;CE;2001;696
53;DF;2001;583
32;ES;2001;738
11;RO;2001;310
14;RR;2001;82
43;RS;2001;317
42;SC;2001;68
28;SE;2001;271
25;PB;2001;329
35;SP;2001;6475
17;TO;2001;140
21;MA;2001;439
31;MG;2001;1423
50;MS;2001;308
26;PE;2001;3647
22;PI;2001;179
41;PR;2001;358
33;RJ;2001;4309
24;RN;2002;213
41;PR;2002;413
22;PI;2002;232
26;PE;2002;3574
25;PB;2002;432
15;PA;2002;1036
51;MT;2002;602
50;MS;2002;333
12;AC;2002;100
27;AL;2002;655
13;AM;2002;442
16;AP;2002;157
29;BA;2002;1298
23;CE;2002;705
53;DF;2002;539
32;ES;2002;813
52;GO;2002;734
21;MA;2002;493
31;MG;2002;1927
17;TO;2002;126
35;SP;2002;6006
28;SE;2002;384
42;SC;2002;84
43;RS;2002;322
14;RR;2002;92
11;RO;2002;376
33;RJ;2002;4923
29;BA;2003;1665
16;AP;2003;171
13;AM;2003;495
27;AL;2003;630
12;AC;2003;98
25;PB;2003;484
50;MS;2003;382
51;MT;2003;597
15;PA;2003;1237
26;PE;2003;3562
31;MG;2003;2539
21;MA;2003;657
22;PI;2003;241
41;PR;2003;412
33;RJ;2003;4948
52;GO;2003;784
32;ES;2003;883
53;DF;2003;623
23;CE;2003;748
17;TO;2003;161
35;SP;2003;5839
28;SE;2003;278
42;SC;2003;101
43;RS;2003;354
14;RR;2003;80
11;RO;2003;375
24;RN;2003;277
50;MS;2004;372
17;TO;2004;149
35;SP;2004;4720
28;SE;2004;270
42;SC;2004;99
43;RS;2004;384
14;RR;2004;66
11;RO;2004;372
24;RN;2004;246
33;RJ;2004;4787
41;PR;2004;537
22;PI;2004;251
26;PE;2004;3430
25;PB;2004;540
15;PA;2004;1351
51;MT;2004;572
31;MG;2004;2916
21;MA;2004;631
52;GO;2004;896
29;BA;2004;1859
23;CE;2004;699
53;DF;2004;582
32;ES;2004;928
16;AP;2004;160
13;AM;2004;440
27;AL;2004;708
12;AC;2004;80
27;AL;2005;812
32;ES;2005;1014
35;SP;2005;3734
23;CE;2005;760
12;AC;2005;87
13;AM;2005;506
16;AP;2005;172
29;BA;2005;2380
17;TO;2005;148
28;SE;2005;345
42;SC;2005;94
43;RS;2005;407
14;RR;2005;73
11;RO;2005;391
24;RN;2005;275
33;RJ;2005;4658
41;PR;2005;639
22;PI;2005;295
26;PE;2005;3517
25;PB;2005;608
15;PA;2005;1726
51;MT;2005;631
50;MS;2005;347
31;MG;2005;2870
21;MA;2005;774
52;GO;2005;1003
53;DF;2005;551
24;RN;2006;318
17;TO;2006;189
35;SP;2006;3364
28;SE;2006;406
42;SC;2006;93
43;RS;2006;381
14;RR;2006;67
11;RO;2006;418
33;RJ;2006;4611
41;PR;2006;522
22;PI;2006;357
26;PE;2006;3893
25;PB;2006;697
15;PA;2006;1867
51;MT;2006;647
50;MS;2006;366
31;MG;2006;2759
21;MA;2006;811
52;GO;2006;1076
32;ES;2006;1111
53;DF;2006;576
23;CE;2006;972
29;BA;2006;2821
16;AP;2006;186
13;AM;2006;584
27;AL;2006;1078
12;AC;2006;102
22;PI;2007;310
41;PR;2007;617
33;RJ;2007;4169
24;RN;2007;424
11;RO;2007;305
14;RR;2007;85
43;RS;2007;440
42;SC;2007;94
28;SE;2007;371
12;AC;2007;91
27;AL;2007;1247
13;AM;2007;648
17;TO;2007;191
35;SP;2007;2602
16;AP;2007;140
29;BA;2007;3116
23;CE;2007;1367
53;DF;2007;591
32;ES;2007;1197
52;GO;2007;1052
21;MA;2007;962
31;MG;2007;2776
50;MS;2007;369
51;MT;2007;615
15;PA;2007;1953
25;PB;2007;759
26;PE;2007;4032
33;RJ;2008;3593
31;MG;2008;2628
21;MA;2008;1097
52;GO;2008;1309
