UUID;Name;Points
aa3eaf74-6d9c-4859-b733-5a18a3b2f71b;afonso_rf;792
2d3d2dce-d353-4961-ad39-46723efe2100;mariicmartins;1375
ca95ef2a-5129-40f4-acbc-2ced25940032;tdlupus;421
65662aff-44d6-4f06-b9d9-07445c6e5943;kozat0;4063
98b960e7-6b7b-45b7-b7af-60bca40e04b9;gu1z17;0
b2f9d026-0727-4125-b84b-c60af3148a15;dcha0tic;2080
6e1bc660-02eb-49ac-aee6-592328504897;jesak_;894
95ef4c1e-b21a-468e-b419-ad08333c4948;marciormr;67
e7c79c1a-7693-4e63-a844-c755e0bc3bd3;gabriel_aka;849
c4f241f8-2140-4f72-b1a3-904fcc51e38c;otal_xandao;203
e407fad9-4f76-4c12-98ea-d70d1c8d0d97;juligaioso;418
cf317911-6a16-403b-9ea0-ad9b90d44a1a;danszk;38
d92138ad-7b6f-4b5b-8e0d-5041fe5b943a;tak3_iteasy;0
00a6d4c8-38e5-4e92-981e-4e4ac5084546;cecisssssss;0
2fa14ef0-72ee-43b8-a884-8cedd9dae64e;campeiro;112
03d75a45-0b36-4fd7-a84e-7b36912f1998;spacca_de_cabelo;5
a59e2ccb-72ef-45d3-844c-65334964261f;colonel_volgin_;554
1fe103bf-ba44-42a2-9b75-fc7d9f9bd2f8;uakabaiaxi;158
c7a4278b-de77-421a-ac17-43c8e8eef6ef;tanquetav;267
a2abd650-93a1-4c0e-a57e-485b7fadfa43;franknfjr;206
b76c3795-90bf-4470-a6ff-8005d2810fc9;zsahist;869
f072ee1b-dfec-4073-940b-0264dbe408de;pequenna;1
c51d1137-46fe-483a-b4b8-7f7fa6703aaa;bullciti;0
6a7d3662-8ab6-43e2-a194-e7f1a58b996d;comportado;0
a36bb816-5ac7-414e-9252-98c4720839dc;pistolinha_ghost;0
43e2aca6-8825-46ca-85ac-ac76a461638e;phblbrasil2;0
54edd84d-73ad-4821-8d53-7ed04f00b2e4;kaycristina;1153
5b59236f-a9dd-4877-a738-d56a77a301e8;savarizluan;4
aa47f1e7-1631-4b03-abd9-9309de45f81a;andrehm_;554
a1478518-6bf1-41e7-895b-355a06554b96;talismacedo;1116
1370597d-57dc-46ae-9d2f-ac6e4a285c81;skyavet;620
053f094b-a813-4417-9bb6-7a3d1737b089;vioninho;0
7e158eee-407a-49e8-a1b0-87662b735e57;huezenbergg;0
28980931-4ba6-4206-99e9-5ebbe0f28295;jaimilson_;0
99431a0f-1f38-47ab-9136-445c7afae00d;nicolaslima167;1364
ed18130c-a356-402e-be63-15948e0e4108;rafaelbatistella;53
20224958-4a8b-461c-a1b9-02080a55af96;clerijr;100
5ae0871a-e31d-4003-8c1a-e181dab54036;ig_barreto;159
331ebc0b-f4a6-4364-85a3-33f91743e2c3;kolligan;350
df695821-6cd6-457e-91b3-33f988c736bc;luisx3krz;152
3458efb0-0a7e-490f-8856-c29f9050d938;the_avila;391
34b1ea54-b7c8-489f-85f8-aab2a844c2e3;vinicius_cd;202
596f1ca1-2593-46f8-93d3-272447fcafae;nicholascarballo;8
af4f97a5-90a8-4ebf-8420-d7766ad093ea;ldbressan;1038
c9ed7cd1-df65-43b9-a18d-f658936b1799;danlscrf;163
0368a5c3-bc5d-45f2-b8a0-07e74ea1574f;levy957;7
be6ccf09-820d-43c9-9705-9fc381b682f7;viniciuss_vieira;0
4c77c153-19b9-42e2-a03c-04f43dcc6105;vinnyportugal07;1211
e37e9fd7-73b3-44a5-9eb9-022fb6d39225;beepthedev;2
