cod;nome;período;homicidio-de-jovens-por-armas-de-fogo;homicidios-de-homens-por-armas-de-fogo;homicidios-de-jovens-homens;homicidios-de-jovens-mulheres;homicidios-de-jovens;homicidios-de-mulheres-por-armas-de-fogo;homicidios-homens-nao-negros;homicidios-homens-negros;homicidios-homens;homicidios-mulheres-nao-negras;homicidios-mulheres-negras;homicidios-mulheres;homicidios-nao-negros;homicidios-negros;homicidios-por-armas-de-fogo;homicidios
53;DF;1989;116.0;177.0;177;8;185.0;5.0;;;308.0;;;23.0;;;182;331.0
35;SP;1989;1821.0;2668.0;5186;336;5522.0;154.0;;;8508.0;;;671.0;;;2822;9179.0
33;RJ;1989;1722.0;2772.0;2170;140;2310.0;167.0;;;3980.0;;;304.0;;;2942;4290.0
32;ES;1989;180.0;361.0;320;29;349.0;29.0;;;763.0;;;75.0;;;395;845.0
31;MG;1989;223.0;384.0;479;67;546.0;47.0;;;1047.0;;;168.0;;;432;1216.0
28;SE;1989;3946.0;66.0;59;5;64.0;5.0;;;124.0;;;15.0;;;71;139.0
29;BA;1989;327.0;562.0;527;46;574.0;23.0;;;1000.0;;;80.0;;;591;1086.0
27;AL;1989;143.0;310.0;310;29;339.0;21.0;;;739.0;;;66.0;;;331;805.0
26;PE;1989;943.0;1607.0;1235;90;1326.0;91.0;;;2379.0;;;173.0;;;1698;2553.0
25;PB;1989;102.0;201.0;169;24;193.0;21.0;;;409.0;;;52.0;;;222;461.0
24;RN;1989;69.0;121.0;108;5;113.0;3.0;;;222.0;;;14.0;;;124;236.0
23;CE;1989;121.0;203.0;286;13;299.0;13.0;;;560.0;;;47.0;;;216;607.0
22;PI;1989;30.0;53.0;60;8;68.0;7.0;;;125.0;;;17.0;;;60;142.0
16;AP;1989;13.0;19.0;27;2;29.0;1.0;;;36.0;;;3.0;;;20;39.0
21;MA;1989;82.0;166.0;160;13;174.0;10.0;;;382.0;;;28.0;;;176;411.0
17;TO;1989;13.0;30.0;15;7;22.0;6.0;;;49.0;;;14.0;;;36;63.0
52;GO;1989;223.0;426.0;302;41;344.0;44.0;;;717.0;;;91.0;;;471;810.0
51;MT;1989;82.0;199.0;165;15;180.0;8.0;;;440.0;;;31.0;;;207;471.0
50;MS;1989;95.0;175.0;147;21;168.0;20.0;;;330.0;;;39.0;;;197;371.0
43;RS;1989;447.0;755.0;744;62;806.0;41.0;;;1419.0;;;142.0;;;796;1561.0
42;SC;1989;82.0;142.0;153;15;168.0;15.0;;;315.0;;;39.0;;;157;354.0
11;RO;1989;114.0;260.0;161;27;188.0;25.0;;;443.0;;;47.0;;;285;490.0
12;AC;1989;28.0;45.0;52;4;56.0;3.0;;;89.0;;;6.0;;;48;95.0
13;AM;1989;82.0;136.0;141;20;161.0;9.0;;;289.0;;;31.0;;;146;321.0
14;RR;1989;1.0;1.0;53;8;61.0;0.0;;;100.0;;;12.0;;;1;113.0
15;PA;1989;165.0;328.0;276;27;303.0;28.0;;;615.0;;;51.0;;;356;666.0
41;PR;1989;255.0;457.0;455;45;501.0;39.0;;;1004.0;;;105.0;;;498;1112.0
26;PE;1990;955.0;1616.0;1275;101;1377.0;111.0;;;2522.0;;;219.0;;;1728;2742.0
53;DF;1990;159.0;259.0;234;17;251.0;19.0;;;423.0;;;40.0;;;278;463.0
52;GO;1990;180.0;349.0;277;32;309.0;29.0;;;620.0;;;58.0;;;380;681.0
51;MT;1990;66.0;164.0;139;16;155.0;16.0;;;376.0;;;39.0;;;180;415.0
50;MS;1990;72.0;146.0;137;19;156.0;16.0;;;306.0;;;40.0;;;162;348.0
43;RS;1990;551.0;917.0;826;60;886.0;81.0;;;1547.0;;;157.0;;;998;1704.0
42;SC;1990;77.0;150.0;140;18;158.0;17.0;;;341.0;;;46.0;;;167;388.0
11;RO;1990;130.0;278.0;202;21;223.0;14.0;;;517.0;;;37.0;;;293;555.0
12;AC;1990;18.0;29.0;29;4;33.0;4.0;;;58.0;;;6.0;;;33;64.0
13;AM;1990;119.0;184.0;193;14;207.0;14.0;;;332.0;;;31.0;;;201;367.0
14;RR;1990;3.0;8.0;52;11;63.0;1.0;;;107.0;;;20.0;;;9;127.0
15;PA;1990;242.0;424.0;337;39;376.0;35.0;;;669.0;;;78.0;;;459;748.0
16;AP;1990;11.0;14.0;18;3;22.0;2.0;;;40.0;;;5.0;;;17;46.0
17;TO;1990;10.0;21.0;19;3;22.0;4.0;;;47.0;;;7.0;;;25;54.0
21;MA;1990;86.0;180.0;182;17;199.0;14.0;;;410.0;;;32.0;;;194;442.0
22;PI;1990;16.0;32.0;50;2;52.0;1.0;;;104.0;;;5.0;;;33;109.0
23;CE;1990;126.0;219.0;230;23;253.0;23.0;;;510.0;;;45.0;;;242;555.0
24;RN;1990;58.0;108.0;85;7;92.0;9.0;;;180.0;;;20.0;;;117;200.0
25;PB;1990;95.0;206.0;172;13;185.0;18.0;;;399.0;;;41.0;;;224;440.0
27;AL;1990;116.0;261.0;263;20;284.0;12.0;;;663.0;;;55.0;;;273;719.0
29;BA;1990;289.0;486.0;406;30;437.0;31.0;;;782.0;;;77.0;;;523;867.0
28;SE;1990;5488.0;69.0;80;8;88.0;6.0;;;138.0;;;13.0;;;75;151.0
31;MG;1990;240.0;444.0;457;63;520.0;50.0;;;1029.0;;;148.0;;;494;1178.0
32;ES;1990;215.0;382.0;344;40;384.0;37.0;;;791.0;;;88.0;;;419;881.0
33;RJ;1990;3172.0;5236.0;3616;215;3833.0;312.0;;;6614.0;;;477.0;;;5557;7101.0
35;SP;1990;1861.0;2784.0;5300;340;5640.0;185.0;;;8824.0;;;679.0;;;2969;9503.0
41;PR;1990;279.0;488.0;483;54;537.0;50.0;;;1041.0;;;125.0;;;538;1167.0
53;DF;1991;209.0;291.0;272;21;293.0;23.0;;;437.0;;;52.0;;;314;489.0
11;RO;1991;108.0;247.0;184;11;196.0;17.0;;;455.0;;;33.0;;;265;491.0
12;AC;1991;38.0;56.0;53;6;59.0;7.0;;;97.0;;;9.0;;;63;106.0
13;AM;1991;141.0;222.0;231;10;241.0;11.0;;;384.0;;;18.0;;;233;403.0
14;RR;1991;9.0;15.0;28;5;33.0;3.0;;;70.0;;;9.0;;;18;79.0
15;PA;1991;232.0;448.0;344;36;380.0;42.0;;;737.0;;;72.0;;;491;810.0
16;AP;1991;9.0;17.0;28;2;30.0;2.0;;;49.0;;;5.0;;;19;54.0
17;TO;1991;17.0;43.0;30;3;33.0;3.0;;;83.0;;;9.0;;;46;92.0
21;MA;1991;118.0;182.0;200;27;227.0;21.0;;;416.0;;;54.0;;;203;470.0
22;PI;1991;15.0;28.0;37;6;43.0;3.0;;;92.0;;;11.0;;;31;103.0
23;CE;1991;139.0;227.0;281;22;303.0;15.0;;;554.0;;;53.0;;;242;607.0
24;RN;1991;65.0;103.0;110;9;119.0;6.0;;;202.0;;;17.0;;;109;219.0
25;PB;1991;79.0;158.0;170;13;183.0;22.0;;;361.0;;;40.0;;;180;401.0
26;PE;1991;1046.0;1878.0;1325;100;1426.0;125.0;;;2706.0;;;232.0;;;2008;2944.0
27;AL;1991;99.0;234.0;219;19;239.0;18.0;;;590.0;;;67.0;;;257;665.0
29;BA;1991;128.0;245.0;236;29;266.0;20.0;;;528.0;;;64.0;;;266;596.0
28;SE;1991;4677.0;168.0;118;13;131.0;8.0;;;287.0;;;21.0;;;179;317.0
31;MG;1991;269.0;472.0;480;60;541.0;43.0;;;1071.0;;;159.0;;;516;1232.0
32;ES;1991;229.0;440.0;377;36;413.0;32.0;;;872.0;;;95.0;;;473;968.0
33;RJ;1991;2207.0;3736.0;2484;154;2640.0;235.0;;;4672.0;;;370.0;;;3979;5055.0
35;SP;1991;1972.0;2912.0;5227;374;5601.0;226.0;;;8896.0;;;789.0;;;3138;9685.0
42;SC;1991;82.0;148.0;131;16;147.0;17.0;;;317.0;;;38.0;;;165;355.0
43;RS;1991;573.0;1031.0;755;68;823.0;86.0;;;1538.0;;;156.0;;;1117;1694.0
50;MS;1991;106.0;191.0;142;24;167.0;24.0;;;338.0;;;47.0;;;218;388.0
51;MT;1991;98.0;201.0;146;26;172.0;26.0;;;403.0;;;49.0;;;227;452.0
52;GO;1991;222.0;396.0;346;51;397.0;44.0;;;741.0;;;110.0;;;440;852.0
41;PR;1991;266.0;510.0;459;60;519.0;52.0;;;1073.0;;;149.0;;;562;1225.0
