cod;nome;período;valor
53;DF;1989;116
35;SP;1989;1821
33;RJ;1989;1722
32;ES;1989;180
31;MG;1989;223
28;SE;1989;3946
29;BA;1989;327
27;AL;1989;143
26;PE;1989;943
25;PB;1989;102
24;RN;1989;69
23;CE;1989;121
22;PI;1989;30
16;AP;1989;13
21;MA;1989;82
17;TO;1989;13
52;GO;1989;223
51;MT;1989;82
50;MS;1989;95
43;RS;1989;447
42;SC;1989;82
11;RO;1989;114
12;AC;1989;28
13;AM;1989;82
14;RR;1989;1
15;PA;1989;165
41;PR;1989;255
26;PE;1990;955
53;DF;1990;159
52;GO;1990;180
51;MT;1990;66
50;MS;1990;72
43;RS;1990;551
42;SC;1990;77
11;RO;1990;130
12;AC;1990;18
13;AM;1990;119
14;RR;1990;3
15;PA;1990;242
16;AP;1990;11
17;TO;1990;10
21;MA;1990;86
22;PI;1990;16
23;CE;1990;126
24;RN;1990;58
25;PB;1990;95
27;AL;1990;116
29;BA;1990;289
28;SE;1990;5488
31;MG;1990;240
32;ES;1990;215
33;RJ;1990;3172
35;SP;1990;1861
41;PR;1990;279
53;DF;1991;209
11;RO;1991;108
12;AC;1991;38
13;AM;1991;141
14;RR;1991;9
15;PA;1991;232
16;AP;1991;9
17;TO;1991;17
21;MA;1991;118
22;PI;1991;15
23;CE;1991;139
24;RN;1991;65
25;PB;1991;79
26;PE;1991;1046
27;AL;1991;99
29;BA;1991;128
28;SE;1991;4677
31;MG;1991;269
32;ES;1991;229
33;RJ;1991;2207
35;SP;1991;1972
42;SC;1991;82
43;RS;1991;573
50;MS;1991;106
51;MT;1991;98
52;GO;1991;222
41;PR;1991;266
29;BA;1992;237
53;DF;1992;172
52;GO;1992;189
51;MT;1992;70
50;MS;1992;107
43;RS;1992;516
42;SC;1992;74
41;PR;1992;269
35;SP;1992;1841
33;RJ;1992;1896
32;ES;1992;196
31;MG;1992;231
28;SE;1992;4164
27;AL;1992;131
26;PE;1992;794
25;PB;1992;101
24;RN;1992;57
23;CE;1992;102
22;PI;1992;15
21;MA;1992;74
17;TO;1992;14
16;AP;1992;24
15;PA;1992;221
14;RR;1992;23
13;AM;1992;81
12;AC;1992;34
11;RO;1992;89
27;AL;1993;147
26;PE;1993;1090
25;PB;1993;94
24;RN;1993;81
23;CE;1993;164
22;PI;1993;19
21;MA;1993;68
17;TO;1993;12
16;AP;1993;26
15;PA;1993;169
14;RR;1993;16
13;AM;1993;96
12;AC;1993;36
11;RO;1993;125
35;SP;1993;2304
33;RJ;1993;2197
32;ES;1993;295
31;MG;1993;281
28;SE;1993;5077
29;BA;1993;618
41;PR;1993;320
53;DF;1993;234
52;GO;1993;188
51;MT;1993;81
50;MS;1993;113
43;RS;1993;369
42;SC;1993;81
11;RO;1994;95
53;DF;1994;250
42;SC;1994;71
43;RS;1994;426
50;MS;1994;138
51;MT;1994;56
41;PR;1994;356
52;GO;1994;227
35;SP;1994;2645
33;RJ;1994;2779
32;ES;1994;300
31;MG;1994;256
28;SE;1994;5980
29;BA;1994;716
27;AL;1994;166
26;PE;1994;1068
25;PB;1994;98
24;RN;1994;66
23;CE;1994;123
22;PI;1994;19
21;MA;1994;65
17;TO;1994;12
16;AP;1994;33
15;PA;1994;217
14;RR;1994;18
13;AM;1994;110
12;AC;1994;23
41;PR;1995;445
53;DF;1995;288
52;GO;1995;208
51;MT;1995;112
50;MS;1995;208
43;RS;1995;494
42;SC;1995;94
35;SP;1995;3094
33;RJ;1995;3567
32;ES;1995;347
31;MG;1995;325
28;SE;1995;7333
29;BA;1995;604
27;AL;1995;203
26;PE;1995;1127
25;PB;1995;131
24;RN;1995;66
23;CE;1995;195
22;PI;1995;28
21;MA;1995;79
17;TO;1995;15
16;AP;1995;34
15;PA;1995;183
14;RR;1995;28
13;AM;1995;113
12;AC;1995;32
11;RO;1995;79
51;MT;1996;196
52;GO;1996;223
53;DF;1996;268
13;AM;1996;132
14;RR;1996;22
35;SP;1996;3173
11;RO;1996;69
41;PR;1996;438
42;SC;1996;108
43;RS;1996;492
50;MS;1996;223
25;PB;1996;148
26;PE;1996;1272
33;RJ;1996;3157
27;AL;1996;233
29;BA;1996;854
28;SE;1996;7017
31;MG;1996;336
32;ES;1996;351
12;AC;1996;28
24;RN;1996;69
15;PA;1996;174
16;AP;1996;54
17;TO;1996;23
21;MA;1996;88
22;PI;1996;20
23;CE;1996;192
32;ES;1997;526
53;DF;1997;282
52;GO;1997;207
51;MT;1997;189
50;MS;1997;232
43;RS;1997;580
42;SC;1997;97
41;PR;1997;463
35;SP;1997;3274
33;RJ;1997;3413
11;RO;1997;92
12;AC;1997;37
13;AM;1997;124
14;RR;1997;23
15;PA;1997;211
16;AP;1997;31
17;TO;1997;26
21;MA;1997;71
22;PI;1997;19
23;CE;1997;250
24;RN;1997;89
25;PB;1997;166
26;PE;1997;1779
27;AL;1997;196
29;BA;1997;850
28;SE;1997;7600
31;MG;1997;387
15;PA;1998;240
51;MT;1998;255
52;GO;1998;217
53;DF;1998;316
50;MS;1998;210
43;RS;1998;546
42;SC;1998;95
41;PR;1998;513
35;SP;1998;3833
33;RJ;1998;3328
32;ES;1998;669
31;MG;1998;480
28;SE;1998;8310
29;BA;1998;462
27;AL;1998;192
26;PE;1998;2221
25;PB;1998;165
24;RN;1998;83
23;CE;1998;251
22;PI;1998;23
21;MA;1998;68
17;TO;1998;30
16;AP;1998;43
14;RR;1998;31
13;AM;1998;139
12;AC;1998;34
11;RO;1998;141
52;GO;1999;290
51;MT;1999;218
50;MS;1999;169
43;RS;1999;596
42;SC;1999;77
41;PR;1999;580
35;SP;1999;4905
33;RJ;1999;3365
32;ES;1999;664
31;MG;1999;413
28;SE;1999;9347
29;BA;1999;313
27;AL;1999;202
26;PE;1999;2166
25;PB;1999;138
24;RN;1999;58
23;CE;1999;262
22;PI;1999;33
21;MA;1999;44
17;TO;1999;38
16;AP;1999;41
15;PA;1999;175
14;RR;1999;34
13;AM;1999;137
12;AC;1999;6
11;RO;1999;129
53;DF;1999;310
15;PA;2000;247
12;AC;2000;21
27;AL;2000;277
13;AM;2000;165
16;AP;2000;24
29;BA;2000;451
23;CE;2000;340
53;DF;2000;334
32;ES;2000;576
52;GO;2000;406
21;MA;2000;64
31;MG;2000;900
50;MS;2000;246
51;MT;2000;325
25;PB;2000;227
26;PE;2000;2190
22;PI;2000;55
41;PR;2000;620
33;RJ;2000;3459
24;RN;2000;79
11;RO;2000;127
14;RR;2000;28
43;RS;2000;662
42;SC;2000;99
28;SE;2000;157
35;SP;2000;6116
17;TO;2000;57
12;AC;2001;36
27;AL;2001;369
13;AM;2001;124
16;AP;2001;21
29;BA;2001;702
23;CE;2001;343
53;DF;2001;362
32;ES;2001;609
52;GO;2001;420
21;MA;2001;120
31;MG;2001;957
50;MS;2001;190
51;MT;2001;286
15;PA;2001;289
25;PB;2001;211
26;PE;2001;2442
22;PI;2001;64
41;PR;2001;731
33;RJ;2001;3511
24;RN;2001;108
11;RO;2001;157
14;RR;2001;20
43;RS;2001;719
42;SC;2001;133
28;SE;2001;228
35;SP;2001;6588
17;TO;2001;60
12;AC;2002;40
27;AL;2002;435
13;AM;2002;116
16;AP;2002;28
29;BA;2002;777
23;CE;2002;422
53;DF;2002;338
32;ES;2002;760
52;GO;2002;520
21;MA;2002;115
31;MG;2002;1249
50;MS;2002;203
51;MT;2002;279
15;PA;2002;373
25;PB;2002;227
26;PE;2002;2267
22;PI;2002;65
41;PR;2002;920
33;RJ;2002;3888
24;RN;2002;95
11;RO;2002;179
14;RR;2002;20
43;RS;2002;757
42;SC;2002;162
28;SE;2002;247
35;SP;2002;6042
17;TO;2002;43
12;AC;2003;31
27;AL;2003;476
13;AM;2003;111
16;AP;2003;51
29;BA;2003;1008
23;CE;2003;449
53;DF;2003;381
32;ES;2003;699
52;GO;2003;522
21;MA;2003;176
31;MG;2003;1814
50;MS;2003;240
51;MT;2003;270
15;PA;2003;466
25;PB;2003;260
26;PE;2003;2298
22;PI;2003;83
41;PR;2003;1065
33;RJ;2003;3675
24;RN;2003;155
11;RO;2003;155
14;RR;2003;16
43;RS;2003;755
42;SC;2003;220
28;SE;2003;200
35;SP;2003;6132
17;TO;2003;47
12;AC;2004;31
27;AL;2004;481
13;AM;2004;136
16;AP;2004;51
29;BA;2004;1023
23;CE;2004;524
53;DF;2004;360
32;ES;2004;761
52;GO;2004;601
21;MA;2004;196
31;MG;2004;2154
50;MS;2004;217
51;MT;2004;236
15;PA;2004;539
25;PB;2004;257
26;PE;2004;2125
22;PI;2004;80
41;PR;2004;1185
33;RJ;2004;3555
24;RN;2004;134
11;RO;2004;170
14;RR;2004;15
43;RS;2004;837
42;SC;2004;202
28;SE;2004;167
35;SP;2004;4743
17;TO;2004;47
13;AM;2005;161
17;TO;2005;39
35;SP;2005;3415
28;SE;2005;185
42;SC;2005;231
43;RS;2005;836
14;RR;2005;8
11;RO;2005;175
24;RN;2005;169
33;RJ;2005;3496
41;PR;2005;1303
22;PI;2005;100
26;PE;2005;2243
25;PB;2005;310
15;PA;2005;708
51;MT;2005;265
50;MS;2005;195
31;MG;2005;2039
21;MA;2005;276
52;GO;2005;619
32;ES;2005;726
53;DF;2005;317
23;CE;2005;613
29;BA;2005;1319
16;AP;2005;33
27;AL;2005;537
12;AC;2005;18
17;TO;2006;50
51;MT;2006;282
50;MS;2006;215
31;MG;2006;1990
21;MA;2006;256
52;GO;2006;602
32;ES;2006;787
53;DF;2006;305
23;CE;2006;642
15;PA;2006;771
25;PB;2006;373
26;PE;2006;2226
22;PI;2006;116
29;BA;2006;1561
41;PR;2006;1361
33;RJ;2006;3347
24;RN;2006;175
11;RO;2006;189
14;RR;2006;18
43;RS;2006;787
42;SC;2006;226
28;SE;2006;243
35;SP;2006;3285
16;AP;2006;49
13;AM;2006;237
27;AL;2006;823
12;AC;2006;23
43;RS;2007;939
12;AC;2007;30
27;AL;2007;959
13;AM;2007;265
16;AP;2007;40
29;BA;2007;1770
23;CE;2007;758
53;DF;2007;352
32;ES;2007;823
52;GO;2007;643
21;MA;2007;353
31;MG;2007;1914
50;MS;2007;222
51;MT;2007;248
15;PA;2007;859
25;PB;2007;372
26;PE;2007;2310
22;PI;2007;103
41;PR;2007;1450
33;RJ;2007;2967
24;RN;2007;249
11;RO;2007;164
14;RR;2007;12
42;SC;2007;233
28;SE;2007;211
35;SP;2007;2267
17;TO;2007;33
51;MT;2008;291
42;SC;2008;302
28;SE;2008;235
35;SP;2008;2027
17;TO;2008;55
43;RS;2008;1011
14;RR;2008;9
11;RO;2008;136
24;RN;2008;326
33;RJ;2008;2442
41;PR;2008;1591
22;PI;2008;90
26;PE;2008;2158
25;PB;2008;447
12;AC;2008;27
27;AL;2008;1018
13;AM;2008;287
16;AP;2008;46
29;BA;2008;2547
23;CE;2008;803
53;DF;2008;390
32;ES;2008;937
52;GO;2008;739
15;PA;2008;1160
21;MA;2008;408
31;MG;2008;1764
50;MS;2008;229
21;MA;2009;458
25;PB;2009;608
26;PE;2009;1939
22;PI;2009;117
41;PR;2009;1672
33;RJ;2009;2205
24;RN;2009;379
11;RO;2009;172
14;RR;2009;13
43;RS;2009;858
42;SC;2009;312
28;SE;2009;244
35;SP;2009;1974
17;TO;2009;64
15;PA;2009;1242
51;MT;2009;309
50;MS;2009;244
31;MG;2009;1646
52;GO;2009;740
32;ES;2009;974
53;DF;2009;450
23;CE;2009;917
29;BA;2009;2971
16;AP;2009;43
13;AM;2009;359
27;AL;2009;969
12;AC;2009;33
13;AM;2010;405
51;MT;2010;310
50;MS;2010;186
31;MG;2010;1523
21;MA;2010;480
52;GO;2010;803
32;ES;2010;875
53;DF;2010;379
23;CE;2010;1219
29;BA;2010;2938
16;AP;2010;72
27;AL;2010;1118
12;AC;2010;34
17;TO;2010;68
35;SP;2010;1793
28;SE;2010;264
42;SC;2010;255
43;RS;2010;787
14;RR;2010;12
11;RO;2010;162
24;RN;2010;349
33;RJ;2010;2261
41;PR;2010;1621
22;PI;2010;115
26;PE;2010;1612
25;PB;2010;733
15;PA;2010;1469
17;TO;2011;78
52;GO;2011;941
32;ES;2011;887
53;DF;2011;405
23;CE;2011;1257
29;BA;2011;2636
16;AP;2011;53
13;AM;2011;590
27;AL;2011;1178
12;AC;2011;26
21;MA;2011;515
35;SP;2011;1643
28;SE;2011;292
42;SC;2011;273
43;RS;2011;829
14;RR;2011;10
11;RO;2011;130
24;RN;2011;481
25;PB;2011;820
26;PE;2011;1538
22;PI;2011;147
41;PR;2011;1410
33;RJ;2011;1818
15;PA;2011;1292
51;MT;2011;320
50;MS;2011;194
31;MG;2011;1831
25;PB;2012;767
33;RJ;2012;1900
24;RN;2012;542
11;RO;2012;164
14;RR;2012;17
43;RS;2012;918
42;SC;2012;284
28;SE;2012;385
35;SP;2012;1957
17;TO;2012;97
27;AL;2012;1099
12;AC;2012;45
15;PA;2012;1310
51;MT;2012;375
50;MS;2012;175
31;MG;2012;2031
21;MA;2012;653
52;GO;2012;1195
32;ES;2012;866
53;DF;2012;432
23;CE;2012;2031
29;BA;2012;2930
13;AM;2012;508
16;AP;2012;81
41;PR;2012;1476
22;PI;2012;181
26;PE;2012;1448
17;TO;2013;65
35;SP;2013;1694
28;SE;2013;430
42;SC;2013;233
43;RS;2013;903
14;RR;2013;31
11;RO;2013;147
24;RN;2013;743
33;RJ;2013;2014
41;PR;2013;1193
22;PI;2013;234
26;PE;2013;1357
25;PB;2013;770
15;PA;2013;1253
51;MT;2013;404
50;MS;2013;148
31;MG;2013;2180
21;MA;2013;790
52;GO;2013;1293
32;ES;2013;869
53;DF;2013;382
23;CE;2013;2377
29;BA;2013;2727
16;AP;2013;69
13;AM;2013;443
27;AL;2013;1177
12;AC;2013;58
17;TO;2014;101
35;SP;2014;1857
42;SC;2014;254
43;RS;2014;1083
14;RR;2014;22
11;RO;2014;176
24;RN;2014;883
33;RJ;2014;2045
41;PR;2014;1184
22;PI;2014;284
26;PE;2014;1557
25;PB;2014;759
15;PA;2014;1331
28;SE;2014;552
12;AC;2014;59
27;AL;2014;1117
13;AM;2014;451
16;AP;2014;99
29;BA;2014;2965
23;CE;2014;2484
53;DF;2014;388
32;ES;2014;842
52;GO;2014;1299
21;MA;2014;962
31;MG;2014;2126
50;MS;2014;206
51;MT;2014;463
50;MS;2015;171
17;TO;2015;152
35;SP;2015;1556
28;SE;2015;637
42;SC;2015;308
43;RS;2015;1189
14;RR;2015;30
11;RO;2015;178
24;RN;2015;804
33;RJ;2015;1835
41;PR;2015;1149
22;PI;2015;232
26;PE;2015;1823
25;PB;2015;737
15;PA;2015;1462
51;MT;2015;392
31;MG;2015;1972
21;MA;2015;968
52;GO;2015;1328
32;ES;2015;709
53;DF;2015;310
23;CE;2015;2166
29;BA;2015;2866
16;AP;2015;96
13;AM;2015;549
27;AL;2015;928
12;AC;2015;65
31;MG;2016;2047
17;TO;2016;182
50;MS;2016;159
51;MT;2016;386
15;PA;2016;1776
25;PB;2016;597
26;PE;2016;2105
22;PI;2016;265
41;PR;2016;1224
33;RJ;2016;2343
24;RN;2016;997
11;RO;2016;185
14;RR;2016;38
43;RS;2016;1352
42;SC;2016;344
28;SE;2016;789
35;SP;2016;1334
23;CE;2016;1794
53;DF;2016;336
32;ES;2016;622
29;BA;2016;3509
52;GO;2016;1346
21;MA;2016;873
12;AC;2016;127
27;AL;2016;959
13;AM;2016;480
16;AP;2016;153
53;DF;2017;256
16;AP;2017;112
13;AM;2017;605
27;AL;2017;993
12;AC;2017;236
21;MA;2017;822
29;BA;2017;3444
31;MG;2017;1814
50;MS;2017;158
51;MT;2017;332
15;PA;2017;1939
25;PB;2017;591
26;PE;2017;2756
22;PI;2017;220
41;PR;2017;1021
33;RJ;2017;2560
24;RN;2017;1250
11;RO;2017;179
14;RR;2017;44
43;RS;2017;1405
42;SC;2017;360
28;SE;2017;690
35;SP;2017;1233
17;TO;2017;195
23;CE;2017;3030
32;ES;2017;771
52;GO;2017;1286
29;BA;2018;3163
12;AC;2018;189
27;AL;2018;727
13;AM;2018;599
16;AP;2018;162
23;CE;2018;2532
53;DF;2018;210
32;ES;2018;548
52;GO;2018;1168
21;MA;2018;698
31;MG;2018;1303
50;MS;2018;119
51;MT;2018;295
15;PA;2018;2004
25;PB;2018;557
26;PE;2018;1979
22;PI;2018;213
41;PR;2018;813
33;RJ;2018;2513
24;RN;2018;1007
11;RO;2018;138
14;RR;2018;124
43;RS;2018;1094
42;SC;2018;249
28;SE;2018;603
35;SP;2018;959
17;TO;2018;191
27;AL;2019;507
13;AM;2019;628
16;AP;2019;167
29;BA;2019;2880
23;CE;2019;1108
53;DF;2019;169
32;ES;2019;501
52;GO;2019;881
21;MA;2019;567
31;MG;2019;1083
50;MS;2019;98
51;MT;2019;247
17;TO;2019;150
15;PA;2019;1359
25;PB;2019;371
26;PE;2019;1597
22;PI;2019;183
41;PR;2019;592
33;RJ;2019;1381
24;RN;2019;700
11;RO;2019;102
14;RR;2019;46
43;RS;2019;823
35;SP;2019;854
42;SC;2019;203
28;SE;2019;477
12;AC;2019;123
50;MS;2020;90
26;PE;2020;1795
25;PB;2020;457
24;RN;2020;724
23;CE;2020;2123
22;PI;2020;254
21;MA;2020;786
17;TO;2020;164
16;AP;2020;147
15;PA;2020;1101
14;RR;2020;56
13;AM;2020;485
12;AC;2020;134
11;RO;2020;94
27;AL;2020;546
28;SE;2020;511
29;BA;2020;3200
31;MG;2020;980
32;ES;2020;578
33;RJ;2020;1553
35;SP;2020;822
41;PR;2020;706
42;SC;2020;190
43;RS;2020;768
51;MT;2020;309
52;GO;2020;876
53;DF;2020;144
11;RO;2021;154
12;AC;2021;67
53;DF;2021;112
