cod;nome;período;valor
25;PB;1979;74
24;RN;1979;40
23;CE;1979;128
22;PI;1979;12
21;MA;1979;30
17;TO;1979;0
16;AP;1979;7
15;PA;1979;127
14;RR;1979;2
13;AM;1979;80
12;AC;1979;14
11;RO;1979;35
53;DF;1979;49
52;GO;1979;125
51;MT;1979;4
50;MS;1979;52
43;RS;1979;226
42;SC;1979;70
41;PR;1979;276
35;SP;1979;1061
33;RJ;1979;1203
32;ES;1979;93
31;MG;1979;404
29;BA;1979;114
28;SE;1979;21
27;AL;1979;104
26;PE;1979;346
25;PB;1980;106
24;RN;1980;75
23;CE;1980;181
22;PI;1980;25
21;MA;1980;34
17;TO;1980;0
16;AP;1980;6
15;PA;1980;143
14;RR;1980;3
13;AM;1980;64
12;AC;1980;14
11;RO;1980;39
53;DF;1980;67
52;GO;1980;155
51;MT;1980;12
50;MS;1980;77
43;RS;1980;268
42;SC;1980;103
41;PR;1980;291
35;SP;1980;1678
33;RJ;1980;1531
32;ES;1980;113
31;MG;1980;444
29;BA;1980;112
28;SE;1980;26
27;AL;1980;112
26;PE;1980;446
12;AC;1981;13
53;DF;1981;71
52;GO;1981;211
51;MT;1981;33
50;MS;1981;81
43;RS;1981;298
42;SC;1981;103
41;PR;1981;323
35;SP;1981;2166
33;RJ;1981;1247
32;ES;1981;149
31;MG;1981;410
29;BA;1981;113
28;SE;1981;32
27;AL;1981;121
26;PE;1981;567
25;PB;1981;114
24;RN;1981;67
23;CE;1981;194
22;PI;1981;25
21;MA;1981;58
17;TO;1981;0
16;AP;1981;9
15;PA;1981;144
14;RR;1981;8
13;AM;1981;73
11;RO;1981;39
23;CE;1982;200
31;MG;1982;395
32;ES;1982;138
33;RJ;1982;1088
35;SP;1982;2076
41;PR;1982;404
42;SC;1982;83
43;RS;1982;305
50;MS;1982;93
51;MT;1982;17
52;GO;1982;211
53;DF;1982;98
11;RO;1982;26
12;AC;1982;16
13;AM;1982;68
14;RR;1982;10
15;PA;1982;150
16;AP;1982;9
17;TO;1982;0
21;MA;1982;60
22;PI;1982;32
24;RN;1982;85
25;PB;1982;100
26;PE;1982;601
27;AL;1982;152
28;SE;1982;35
29;BA;1982;164
16;AP;1983;19
15;PA;1983;211
14;RR;1983;8
13;AM;1983;84
12;AC;1983;16
11;RO;1983;42
27;AL;1983;203
26;PE;1983;699
25;PB;1983;137
24;RN;1983;62
28;SE;1983;34
23;CE;1983;263
22;PI;1983;38
21;MA;1983;53
51;MT;1983;41
32;ES;1983;135
31;MG;1983;319
29;BA;1983;126
52;GO;1983;216
53;DF;1983;90
43;RS;1983;293
42;SC;1983;102
41;PR;1983;398
35;SP;1983;2916
33;RJ;1983;874
50;MS;1983;101
17;TO;1983;0
27;AL;1984;185
29;BA;1984;186
31;MG;1984;379
32;ES;1984;143
25;PB;1984;135
24;RN;1984;62
23;CE;1984;274
22;PI;1984;34
21;MA;1984;62
17;TO;1984;0
26;PE;1984;801
11;RO;1984;80
12;AC;1984;13
13;AM;1984;110
14;RR;1984;9
15;PA;1984;212
16;AP;1984;14
53;DF;1984;77
52;GO;1984;176
51;MT;1984;57
50;MS;1984;126
43;RS;1984;305
42;SC;1984;102
41;PR;1984;429
35;SP;1984;3789
33;RJ;1984;1145
28;SE;1984;16
28;SE;1985;22
13;AM;1985;84
14;RR;1985;3
15;PA;1985;200
16;AP;1985;16
17;TO;1985;0
21;MA;1985;45
22;PI;1985;22
23;CE;1985;221
24;RN;1985;62
25;PB;1985;160
26;PE;1985;930
27;AL;1985;173
12;AC;1985;27
29;BA;1985;216
31;MG;1985;384
32;ES;1985;168
33;RJ;1985;1277
35;SP;1985;3883
41;PR;1985;338
42;SC;1985;103
43;RS;1985;283
50;MS;1985;92
51;MT;1985;81
52;GO;1985;187
53;DF;1985;131
11;RO;1985;104
52;GO;1986;203
51;MT;1986;110
50;MS;1986;111
43;RS;1986;321
42;SC;1986;100
41;PR;1986;377
35;SP;1986;4070
33;RJ;1986;1243
32;ES;1986;192
31;MG;1986;378
29;BA;1986;206
28;SE;1986;22
27;AL;1986;197
26;PE;1986;966
25;PB;1986;179
24;RN;1986;39
23;CE;1986;230
22;PI;1986;31
21;MA;1986;107
17;TO;1986;0
16;AP;1986;15
15;PA;1986;226
14;RR;1986;8
13;AM;1986;89
12;AC;1986;24
11;RO;1986;133
53;DF;1986;121
43;RS;1987;347
11;RO;1987;148
12;AC;1987;42
13;AM;1987;103
14;RR;1987;3
15;PA;1987;196
16;AP;1987;9
17;TO;1987;0
21;MA;1987;110
22;PI;1987;33
23;CE;1987;186
24;RN;1987;55
25;PB;1987;149
26;PE;1987;1045
27;AL;1987;213
28;SE;1987;23
29;BA;1987;258
31;MG;1987;378
32;ES;1987;206
33;RJ;1987;1977
35;SP;1987;4357
41;PR;1987;354
42;SC;1987;117
50;MS;1987;97
51;MT;1987;124
52;GO;1987;236
53;DF;1987;155
51;MT;1988;138
53;DF;1988;160
11;RO;1988;144
26;PE;1988;1046
25;PB;1988;155
24;RN;1988;82
23;CE;1988;228
22;PI;1988;49
21;MA;1988;122
17;TO;1988;0
16;AP;1988;12
15;PA;1988;237
