cod;nome;período;valor
12;AC;1989;3
11;RO;1989;25
43;RS;1989;41
27;AL;1989;21
16;AP;1989;1
13;AM;1989;9
29;BA;1989;23
23;CE;1989;13
53;DF;1989;5
32;ES;1989;29
52;GO;1989;44
21;MA;1989;10
51;MT;1989;8
50;MS;1989;20
31;MG;1989;47
15;PA;1989;28
25;PB;1989;21
41;PR;1989;39
26;PE;1989;91
22;PI;1989;7
33;RJ;1989;167
24;RN;1989;3
14;RR;1989;0
42;SC;1989;15
35;SP;1989;154
28;SE;1989;5
17;TO;1989;6
53;DF;1990;19
17;TO;1990;4
28;SE;1990;6
35;SP;1990;185
42;SC;1990;17
14;RR;1990;1
11;RO;1990;14
43;RS;1990;81
24;RN;1990;9
33;RJ;1990;312
22;PI;1990;1
26;PE;1990;111
41;PR;1990;50
25;PB;1990;18
15;PA;1990;35
31;MG;1990;50
50;MS;1990;16
51;MT;1990;16
21;MA;1990;14
52;GO;1990;29
32;ES;1990;37
23;CE;1990;23
29;BA;1990;31
13;AM;1990;14
16;AP;1990;2
27;AL;1990;12
12;AC;1990;4
35;SP;1991;226
27;AL;1991;18
12;AC;1991;7
28;SE;1991;8
17;TO;1991;3
13;AM;1991;11
29;BA;1991;20
23;CE;1991;15
53;DF;1991;23
32;ES;1991;32
52;GO;1991;44
21;MA;1991;21
51;MT;1991;26
50;MS;1991;24
31;MG;1991;43
15;PA;1991;42
25;PB;1991;22
41;PR;1991;52
26;PE;1991;125
22;PI;1991;3
33;RJ;1991;235
24;RN;1991;6
43;RS;1991;86
16;AP;1991;2
11;RO;1991;17
14;RR;1991;3
42;SC;1991;17
11;RO;1992;14
27;AL;1992;17
12;AC;1992;7
16;AP;1992;3
17;TO;1992;3
28;SE;1992;7
35;SP;1992;161
42;SC;1992;10
13;AM;1992;7
29;BA;1992;26
23;CE;1992;14
53;DF;1992;16
32;ES;1992;31
52;GO;1992;56
21;MA;1992;15
51;MT;1992;11
50;MS;1992;29
31;MG;1992;51
15;PA;1992;31
25;PB;1992;24
41;PR;1992;47
26;PE;1992;93
22;PI;1992;2
33;RJ;1992;219
24;RN;1992;9
43;RS;1992;101
14;RR;1992;5
32;ES;1993;33
52;GO;1993;47
12;AC;1993;5
27;AL;1993;29
16;AP;1993;2
13;AM;1993;10
29;BA;1993;54
23;CE;1993;21
53;DF;1993;27
21;MA;1993;10
17;TO;1993;3
28;SE;1993;10
35;SP;1993;232
42;SC;1993;12
14;RR;1993;3
11;RO;1993;24
43;RS;1993;50
24;RN;1993;14
51;MT;1993;11
33;RJ;1993;256
22;PI;1993;4
26;PE;1993;118
41;PR;1993;53
25;PB;1993;13
15;PA;1993;20
31;MG;1993;68
50;MS;1993;18
51;MT;1994;7
17;TO;1994;5
28;SE;1994;21
35;SP;1994;259
42;SC;1994;9
14;RR;1994;2
11;RO;1994;17
43;RS;1994;70
24;RN;1994;6
33;RJ;1994;344
22;PI;1994;1
26;PE;1994;113
41;PR;1994;58
25;PB;1994;16
15;PA;1994;36
31;MG;1994;50
50;MS;1994;19
21;MA;1994;6
52;GO;1994;41
32;ES;1994;46
53;DF;1994;33
23;CE;1994;21
29;BA;1994;88
13;AM;1994;13
16;AP;1994;4
27;AL;1994;24
12;AC;1994;5
32;ES;1995;53
12;AC;1995;9
27;AL;1995;38
16;AP;1995;3
13;AM;1995;14
28;SE;1995;10
17;TO;1995;3
29;BA;1995;79
52;GO;1995;61
21;MA;1995;10
53;DF;1995;27
23;CE;1995;18
35;SP;1995;368
42;SC;1995;21
14;RR;1995;1
11;RO;1995;12
43;RS;1995;89
24;RN;1995;15
33;RJ;1995;408
22;PI;1995;7
26;PE;1995;128
41;PR;1995;79
25;PB;1995;29
15;PA;1995;25
31;MG;1995;46
50;MS;1995;22
51;MT;1995;25
11;RO;1996;24
35;SP;1996;343
14;RR;1996;5
42;SC;1996;26
12;AC;1996;5
27;AL;1996;43
16;AP;1996;9
13;AM;1996;16
29;BA;1996;120
17;TO;1996;6
28;SE;1996;14
23;CE;1996;29
53;DF;1996;32
32;ES;1996;63
52;GO;1996;66
21;MA;1996;12
51;MT;1996;38
50;MS;1996;49
31;MG;1996;87
15;PA;1996;31
25;PB;1996;41
41;PR;1996;73
26;PE;1996;150
22;PI;1996;2
33;RJ;1996;428
24;RN;1996;12
43;RS;1996;111
41;PR;1997;64
17;TO;1997;4
28;SE;1997;8
35;SP;1997;404
42;SC;1997;20
14;RR;1997;3
11;RO;1997;20
43;RS;1997;118
24;RN;1997;14
33;RJ;1997;408
22;PI;1997;4
26;PE;1997;145
25;PB;1997;27
15;PA;1997;36
31;MG;1997;72
50;MS;1997;38
51;MT;1997;36
21;MA;1997;19
52;GO;1997;42
32;ES;1997;67
53;DF;1997;30
23;CE;1997;31
29;BA;1997;98
13;AM;1997;13
16;AP;1997;6
27;AL;1997;43
12;AC;1997;6
43;RS;1998;100
24;RN;1998;9
33;RJ;1998;398
22;PI;1998;4
26;PE;1998;196
41;PR;1998;68
25;PB;1998;24
15;PA;1998;29
31;MG;1998;77
50;MS;1998;41
51;MT;1998;46
21;MA;1998;9
52;GO;1998;36
32;ES;1998;93
53;DF;1998;35
23;CE;1998;26
29;BA;1998;38
13;AM;1998;22
16;AP;1998;7
27;AL;1998;28
12;AC;1998;5
28;SE;1998;6
17;TO;1998;13
35;SP;1998;382
42;SC;1998;27
14;RR;1998;7
11;RO;1998;21
42;SC;1999;19
13;AM;1999;19
16;AP;1999;5
27;AL;1999;29
12;AC;1999;2
51;MT;1999;35
50;MS;1999;36
31;MG;1999;74
15;PA;1999;18
25;PB;1999;19
41;PR;1999;81
26;PE;1999;206
22;PI;1999;1
33;RJ;1999;380
24;RN;1999;15
43;RS;1999;90
11;RO;1999;23
14;RR;1999;6
35;SP;1999;450
28;SE;1999;21
17;TO;1999;6
29;BA;1999;31
23;CE;1999;31
53;DF;1999;34
32;ES;1999;80
52;GO;1999;60
21;MA;1999;7
41;PR;2000;76
22;PI;2000;2
26;PE;2000;212
25;PB;2000;32
15;PA;2000;24
51;MT;2000;43
50;MS;2000;41
31;MG;2000;117
21;MA;2000;12
52;GO;2000;71
32;ES;2000;63
53;DF;2000;23
23;CE;2000;54
29;BA;2000;59
16;AP;2000;2
13;AM;2000;13
27;AL;2000;33
35;SP;2000;599
17;TO;2000;8
12;AC;2000;4
28;SE;2000;18
42;SC;2000;26
43;RS;2000;91
14;RR;2000;4
11;RO;2000;18
24;RN;2000;9
33;RJ;2000;375
22;PI;2001;7
17;TO;2001;11
35;SP;2001;618
28;SE;2001;19
42;SC;2001;25
43;RS;2001;102
14;RR;2001;1
11;RO;2001;34
24;RN;2001;14
33;RJ;2001;384
41;PR;2001;101
26;PE;2001;194
25;PB;2001;23
15;PA;2001;46
51;MT;2001;42
50;MS;2001;35
31;MG;2001;97
21;MA;2001;19
52;GO;2001;64
32;ES;2001;80
53;DF;2001;25
23;CE;2001;43
29;BA;2001;50
16;AP;2001;1
13;AM;2001;15
27;AL;2001;29
12;AC;2001;3
41;PR;2002;92
22;PI;2002;10
26;PE;2002;182
25;PB;2002;25
15;PA;2002;33
51;MT;2002;45
50;MS;2002;34
31;MG;2002;142
21;MA;2002;14
52;GO;2002;76
32;ES;2002;88
53;DF;2002;29
23;CE;2002;49
29;BA;2002;60
16;AP;2002;5
13;AM;2002;15
27;AL;2002;45
12;AC;2002;3
14;RR;2002;5
11;RO;2002;21
43;RS;2002;107
24;RN;2002;7
33;RJ;2002;362
17;TO;2002;7
35;SP;2002;547
28;SE;2002;14
42;SC;2002;36
13;AM;2003;14
43;RS;2003;95
42;SC;2003;30
28;SE;2003;18
35;SP;2003;538
17;TO;2003;5
14;RR;2003;3
11;RO;2003;33
24;RN;2003;17
33;RJ;2003;336
41;PR;2003;119
22;PI;2003;10
26;PE;2003;186
25;PB;2003;22
15;PA;2003;45
51;MT;2003;40
50;MS;2003;35
31;MG;2003;200
21;MA;2003;27
52;GO;2003;69
32;ES;2003;71
53;DF;2003;41
23;CE;2003;46
29;BA;2003;68
16;AP;2003;5
27;AL;2003;34
12;AC;2003;5
26;PE;2004;189
23;CE;2004;51
29;BA;2004;78
16;AP;2004;5
13;AM;2004;14
27;AL;2004;35
12;AC;2004;7
32;ES;2004;80
53;DF;2004;29
17;TO;2004;6
35;SP;2004;458
28;SE;2004;14
42;SC;2004;32
43;RS;2004;106
14;RR;2004;1
11;RO;2004;20
24;RN;2004;9
33;RJ;2004;338
41;PR;2004;132
22;PI;2004;8
25;PB;2004;41
15;PA;2004;42
51;MT;2004;36
50;MS;2004;24
31;MG;2004;220
21;MA;2004;23
52;GO;2004;50
25;PB;2005;36
26;PE;2005;197
22;PI;2005;11
41;PR;2005;121
35;SP;2005;367
16;AP;2005;5
13;AM;2005;13
27;AL;2005;36
12;AC;2005;1
28;SE;2005;12
42;SC;2005;33
43;RS;2005;114
14;RR;2005;2
11;RO;2005;25
24;RN;2005;12
33;RJ;2005;329
53;DF;2005;25
23;CE;2005;66
17;TO;2005;6
29;BA;2005;114
32;ES;2005;101
52;GO;2005;52
21;MA;2005;21
31;MG;2005;204
50;MS;2005;26
51;MT;2005;32
15;PA;2005;56
41;PR;2006;140
31;MG;2006;204
50;MS;2006;17
51;MT;2006;22
15;PA;2006;71
25;PB;2006;39
26;PE;2006;197
22;PI;2006;11
21;MA;2006;24
33;RJ;2006;319
24;RN;2006;21
11;RO;2006;25
14;RR;2006;3
43;RS;2006;83
42;SC;2006;34
28;SE;2006;15
35;SP;2006;387
17;TO;2006;6
12;AC;2006;2
27;AL;2006;64
13;AM;2006;22
16;AP;2006;0
29;BA;2006;131
23;CE;2006;43
53;DF;2006;33
32;ES;2006;100
52;GO;2006;69
28;SE;2007;19
12;AC;2007;4
27;AL;2007;74
13;AM;2007;25
16;AP;2007;5
29;BA;2007;133
23;CE;2007;43
22;PI;2007;15
26;PE;2007;192
25;PB;2007;42
15;PA;2007;58
51;MT;2007;35
50;MS;2007;29
31;MG;2007;218
21;MA;2007;23
52;GO;2007;73
32;ES;2007;111
53;DF;2007;28
41;PR;2007;134
33;RJ;2007;272
42;SC;2007;21
24;RN;2007;23
11;RO;2007;9
14;RR;2007;2
43;RS;2007;100
17;TO;2007;8
35;SP;2007;291
16;AP;2008;3
17;TO;2008;10
35;SP;2008;292
28;SE;2008;11
42;SC;2008;43
43;RS;2008;118
14;RR;2008;2
11;RO;2008;17
24;RN;2008;36
33;RJ;2008;219
41;PR;2008;168
22;PI;2008;8
26;PE;2008;166
25;PB;2008;49
15;PA;2008;89
51;MT;2008;36
50;MS;2008;22
31;MG;2008;174
21;MA;2008;25
52;GO;2008;82
32;ES;2008;124
53;DF;2008;38
23;CE;2008;48
29;BA;2008;193
13;AM;2008;20
27;AL;2008;55
12;AC;2008;0
28;SE;2009;16
42;SC;2009;39
43;RS;2009;126
14;RR;2009;4
11;RO;2009;28
24;RN;2009;30
33;RJ;2009;199
41;PR;2009;199
22;PI;2009;14
26;PE;2009;186
25;PB;2009;67
15;PA;2009;84
51;MT;2009;44
50;MS;2009;28
31;MG;2009;197
35;SP;2009;235
17;TO;2009;12
21;MA;2009;32
52;GO;2009;76
32;ES;2009;130
53;DF;2009;43
23;CE;2009;68
29;BA;2009;220
16;AP;2009;3
13;AM;2009;28
27;AL;2009;81
12;AC;2009;2
11;RO;2010;17
29;BA;2010;235
53;DF;2010;42
32;ES;2010;94
52;GO;2010;80
21;MA;2010;42
31;MG;2010;197
51;MT;2010;27
50;MS;2010;21
23;CE;2010;103
17;TO;2010;9
35;SP;2010;232
28;SE;2010;18
42;SC;2010;42
43;RS;2010;119
25;PB;2010;79
15;PA;2010;126
12;AC;2010;7
27;AL;2010;88
13;AM;2010;28
16;AP;2010;5
26;PE;2010;152
22;PI;2010;16
41;PR;2010;189
33;RJ;2010;191
24;RN;2010;33
14;RR;2010;2
12;AC;2011;5
43;RS;2011;114
42;SC;2011;33
28;SE;2011;30
35;SP;2011;192
17;TO;2011;13
11;RO;2011;22
24;RN;2011;44
33;RJ;2011;177
41;PR;2011;139
22;PI;2011;10
26;PE;2011;143
25;PB;2011;108
15;PA;2011;106
51;MT;2011;34
50;MS;2011;35
31;MG;2011;220
21;MA;2011;51
52;GO;2011;129
27;AL;2011;94
13;AM;2011;32
16;AP;2011;9
29;BA;2011;250
23;CE;2011;119
53;DF;2011;44
32;ES;2011;105
14;RR;2011;0
41;PR;2012;166
32;ES;2012;106
21;MA;2012;41
31;MG;2012;216
50;MS;2012;13
51;MT;2012;37
11;RO;2012;26
35;SP;2012;205
28;SE;2012;30
42;SC;2012;37
43;RS;2012;135
52;GO;2012;133
17;TO;2012;18
14;RR;2012;3
15;PA;2012;119
25;PB;2012;89
