cod;nome;período;valor
12;AC;1996;1
27;AL;1996;0
16;AP;1996;0
13;AM;1996;0
29;BA;1996;0
23;CE;1996;0
53;DF;1996;0
32;ES;1996;0
52;GO;1996;0
21;MA;1996;0
51;MT;1996;0
50;MS;1996;0
31;MG;1996;2
15;PA;1996;1
25;PB;1996;0
41;PR;1996;0
26;PE;1996;1
22;PI;1996;0
33;RJ;1996;1
24;RN;1996;0
43;RS;1996;0
11;RO;1996;0
14;RR;1996;0
42;SC;1996;1
35;SP;1996;1553
28;SE;1996;0
17;TO;1996;0
12;AC;1997;7
27;AL;1997;43
16;AP;1997;13
13;AM;1997;36
29;BA;1997;14
23;CE;1997;55
53;DF;1997;73
32;ES;1997;105
52;GO;1997;68
21;MA;1997;33
51;MT;1997;91
50;MS;1997;3
31;MG;1997;262
15;PA;1997;28
25;PB;1997;26
41;PR;1997;328
26;PE;1997;313
22;PI;1997;13
33;RJ;1997;2217
24;RN;1997;54
43;RS;1997;1081
11;RO;1997;32
14;RR;1997;5
42;SC;1997;111
35;SP;1997;2671
28;SE;1997;14
17;TO;1997;21
12;AC;1998;10
27;AL;1998;47
16;AP;1998;8
13;AM;1998;26
29;BA;1998;44
23;CE;1998;97
53;DF;1998;73
32;ES;1998;156
52;GO;1998;71
21;MA;1998;29
51;MT;1998;176
50;MS;1998;10
31;MG;1998;363
15;PA;1998;56
25;PB;1998;25
41;PR;1998;827
26;PE;1998;485
22;PI;1998;15
33;RJ;1998;2246
24;RN;1998;37
43;RS;1998;1019
11;RO;1998;72
14;RR;1998;20
42;SC;1998;179
35;SP;1998;6291
28;SE;1998;12
17;TO;1998;33
12;AC;1999;12
27;AL;1999;47
16;AP;1999;10
13;AM;1999;33
29;BA;1999;88
23;CE;1999;145
53;DF;1999;83
32;ES;1999;208
52;GO;1999;148
21;MA;1999;37
51;MT;1999;200
50;MS;1999;137
31;MG;1999;368
15;PA;1999;66
25;PB;1999;34
41;PR;1999;1025
26;PE;1999;528
22;PI;1999;18
33;RJ;1999;2212
24;RN;1999;50
43;RS;1999;1039
11;RO;1999;96
14;RR;1999;49
42;SC;1999;217
35;SP;1999;7723
28;SE;1999;32
17;TO;1999;43
12;AC;2000;44
27;AL;2000;92
16;AP;2000;12
13;AM;2000;42
29;BA;2000;79
23;CE;2000;182
53;DF;2000;97
32;ES;2000;237
52;GO;2000;269
21;MA;2000;56
51;MT;2000;303
50;MS;2000;259
31;MG;2000;541
15;PA;2000;88
25;PB;2000;52
41;PR;2000;1242
26;PE;2000;476
22;PI;2000;33
33;RJ;2000;2447
24;RN;2000;50
43;RS;2000;1216
11;RO;2000;109
14;RR;2000;18
42;SC;2000;292
35;SP;2000;8110
28;SE;2000;62
17;TO;2000;52
12;AC;2001;31
27;AL;2001;95
16;AP;2001;13
13;AM;2001;50
29;BA;2001;132
23;CE;2001;164
53;DF;2001;87
32;ES;2001;222
52;GO;2001;306
21;MA;2001;81
51;MT;2001;276
50;MS;2001;265
31;MG;2001;673
15;PA;2001;96
25;PB;2001;47
41;PR;2001;1469
26;PE;2001;491
22;PI;2001;34
33;RJ;2001;2306
24;RN;2001;58
43;RS;2001;1342
11;RO;2001;178
14;RR;2001;21
42;SC;2001;320
35;SP;2001;8301
28;SE;2001;80
17;TO;2001;60
12;AC;2002;43
27;AL;2002;99
16;AP;2002;14
13;AM;2002;53
29;BA;2002;134
23;CE;2002;126
53;DF;2002;80
32;ES;2002;261
52;GO;2002;361
21;MA;2002;90
51;MT;2002;283
50;MS;2002;284
31;MG;2002;783
15;PA;2002;127
25;PB;2002;44
41;PR;2002;1644
26;PE;2002;459
22;PI;2002;37
33;RJ;2002;2631
24;RN;2002;58
43;RS;2002;1402
11;RO;2002;177
14;RR;2002;25
42;SC;2002;396
35;SP;2002;7611
28;SE;2002;61
17;TO;2002;39
12;AC;2003;35
27;AL;2003;58
16;AP;2003;9
13;AM;2003;47
29;BA;2003;140
23;CE;2003;149
53;DF;2003;95
32;ES;2003;293
52;GO;2003;301
21;MA;2003;109
51;MT;2003;266
50;MS;2003;268
31;MG;2003;996
15;PA;2003;137
25;PB;2003;44
41;PR;2003;1887
26;PE;2003;493
22;PI;2003;27
33;RJ;2003;2499
24;RN;2003;81
43;RS;2003;1391
11;RO;2003;149
14;RR;2003;21
42;SC;2003;442
35;SP;2003;7487
28;SE;2003;54
17;TO;2003;37
12;AC;2004;24
27;AL;2004;43
16;AP;2004;9
13;AM;2004;63
29;BA;2004;139
23;CE;2004;125
53;DF;2004;101
32;ES;2004;227
52;GO;2004;411
21;MA;2004;79
51;MT;2004;234
50;MS;2004;245
31;MG;2004;1063
15;PA;2004;143
25;PB;2004;40
41;PR;2004;2030
26;PE;2004;388
22;PI;2004;40
33;RJ;2004;2307
24;RN;2004;61
43;RS;2004;1414
11;RO;2004;147
14;RR;2004;13
42;SC;2004;427
35;SP;2004;5958
28;SE;2004;43
17;TO;2004;45
12;AC;2005;26
27;AL;2005;61
16;AP;2005;20
13;AM;2005;66
29;BA;2005;150
23;CE;2005;138
53;DF;2005;81
32;ES;2005;213
52;GO;2005;361
21;MA;2005;130
51;MT;2005;227
50;MS;2005;230
31;MG;2005;999
15;PA;2005;155
25;PB;2005;43
41;PR;2005;2094
26;PE;2005;414
22;PI;2005;43
33;RJ;2005;2238
24;RN;2005;65
43;RS;2005;1415
11;RO;2005;134
14;RR;2005;18
42;SC;2005;422
35;SP;2005;4575
28;SE;2005;69
17;TO;2005;35
12;AC;2006;36
27;AL;2006;62
16;AP;2006;11
13;AM;2006;77
29;BA;2006;183
23;CE;2006;148
53;DF;2006;70
32;ES;2006;211
52;GO;2006;332
21;MA;2006;135
51;MT;2006;212
50;MS;2006;265
31;MG;2006;1103
15;PA;2006;139
25;PB;2006;38
41;PR;2006;2326
26;PE;2006;351
22;PI;2006;47
33;RJ;2006;2217
24;RN;2006;71
43;RS;2006;1457
11;RO;2006;125
14;RR;2006;31
42;SC;2006;439
35;SP;2006;4315
28;SE;2006;76
17;TO;2006;34
12;AC;2007;26
27;AL;2007;65
16;AP;2007;17
13;AM;2007;38
29;BA;2007;233
23;CE;2007;185
53;DF;2007;94
32;ES;2007;245
52;GO;2007;341
21;MA;2007;144
51;MT;2007;230
50;MS;2007;274
31;MG;2007;1030
15;PA;2007;164
25;PB;2007;32
