cod;nome;período;valor
11;RO;1996;0
14;RR;1996;0
42;SC;1996;0
35;SP;1996;335
28;SE;1996;0
17;TO;1996;0
16;AP;1996;0
21;MA;1996;0
52;GO;1996;0
31;MG;1996;0
27;AL;1996;0
32;ES;1996;0
53;DF;1996;0
15;PA;1996;0
29;BA;1996;0
23;CE;1996;0
51;MT;1996;0
12;AC;1996;0
25;PB;1996;0
41;PR;1996;0
26;PE;1996;0
22;PI;1996;0
33;RJ;1996;0
24;RN;1996;0
13;AM;1996;0
43;RS;1996;0
50;MS;1996;0
31;MG;1997;519
26;PE;1997;586
22;PI;1997;76
33;RJ;1997;3940
24;RN;1997;118
43;RS;1997;232
11;RO;1997;47
14;RR;1997;13
17;TO;1997;29
28;SE;1997;47
16;AP;1997;73
29;BA;1997;120
35;SP;1997;2055
12;AC;1997;3
27;AL;1997;124
23;CE;1997;278
53;DF;1997;388
32;ES;1997;262
52;GO;1997;121
21;MA;1997;170
51;MT;1997;212
50;MS;1997;1
42;SC;1997;10
15;PA;1997;237
25;PB;1997;67
41;PR;1997;66
13;AM;1997;353
27;AL;1998;216
17;TO;1998;53
28;SE;1998;79
35;SP;1998;5434
42;SC;1998;34
11;RO;1998;105
14;RR;1998;91
16;AP;1998;134
13;AM;1998;404
12;AC;1998;21
29;BA;1998;248
23;CE;1998;305
53;DF;1998;415
32;ES;1998;328
52;GO;1998;180
21;MA;1998;177
51;MT;1998;364
50;MS;1998;8
31;MG;1998;700
15;PA;1998;472
25;PB;1998;82
41;PR;1998;232
26;PE;1998;1106
22;PI;1998;78
33;RJ;1998;3631
24;RN;1998;119
43;RS;1998;231
53;DF;1999;440
41;PR;1999;262
52;GO;1999;245
31;MG;1999;732
25;PB;1999;111
32;ES;1999;554
33;RJ;1999;3726
15;PA;1999;462
22;PI;1999;85
13;AM;1999;422
16;AP;1999;163
26;PE;1999;2186
27;AL;1999;338
17;TO;1999;60
51;MT;1999;387
12;AC;1999;15
28;SE;1999;101
29;BA;1999;305
23;CE;1999;518
35;SP;1999;6182
42;SC;1999;44
14;RR;1999;82
11;RO;1999;153
21;MA;1999;135
50;MS;1999;124
43;RS;1999;249
24;RN;1999;122
13;AM;2000;454
17;TO;2000;103
28;SE;2000;171
35;SP;2000;6029
42;SC;2000;47
14;RR;2000;89
11;RO;2000;230
43;RS;2000;250
24;RN;2000;161
33;RJ;2000;4003
22;PI;2000;138
26;PE;2000;3003
41;PR;2000;331
25;PB;2000;351
15;PA;2000;603
31;MG;2000;1126
50;MS;2000;273
51;MT;2000;561
21;MA;2000;230
52;GO;2000;472
32;ES;2000;624
53;DF;2000;533
23;CE;2000;656
29;BA;2000;802
16;AP;2000;124
12;AC;2000;44
27;AL;2000;487
14;RR;2001;76
11;RO;2001;275
43;RS;2001;300
24;RN;2001;204
33;RJ;2001;4003
27;AL;2001;557
16;AP;2001;155
13;AM;2001;371
29;BA;2001;1130
23;CE;2001;638
53;DF;2001;549
32;ES;2001;680
52;GO;2001;606
21;MA;2001;403
51;MT;2001;573
50;MS;2001;277
31;MG;2001;1304
12;AC;2001;65
15;PA;2001;725
25;PB;2001;298
41;PR;2001;333
26;PE;2001;3441
17;TO;2001;126
28;SE;2001;256
35;SP;2001;6096
42;SC;2001;61
22;PI;2001;155
42;SC;2002;75
17;TO;2002;110
29;BA;2002;1209
43;RS;2002;288
31;MG;2002;1776
14;RR;2002;83
13;AM;2002;415
28;SE;2002;362
15;PA;2002;974
11;RO;2002;351
25;PB;2002;405
16;AP;2002;149
35;SP;2002;5643
41;PR;2002;377
12;AC;2002;92
27;AL;2002;616
51;MT;2002;549
52;GO;2002;666
32;ES;2002;742
53;DF;2002;503
21;MA;2002;462
23;CE;2002;657
26;PE;2002;3395
22;PI;2002;214
33;RJ;2002;4634
24;RN;2002;201
50;MS;2002;298
11;RO;2003;346
28;SE;2003;262
13;AM;2003;465
29;BA;2003;1565
23;CE;2003;708
53;DF;2003;578
32;ES;2003;816
27;AL;2003;591
52;GO;2003;709
21;MA;2003;599
51;MT;2003;544
17;TO;2003;144
14;RR;2003;75
50;MS;2003;355
31;MG;2003;2340
15;PA;2003;1159
25;PB;2003;458
41;PR;2003;380
26;PE;2003;3375
22;PI;2003;217
33;RJ;2003;4671
24;RN;2003;261
42;SC;2003;93
16;AP;2003;159
35;SP;2003;5461
12;AC;2003;91
43;RS;2003;331
25;PB;2004;493
27;AL;2004;666
16;AP;2004;146
13;AM;2004;406
11;RO;2004;358
28;SE;2004;255
12;AC;2004;73
29;BA;2004;1704
17;TO;2004;135
23;CE;2004;655
53;DF;2004;538
32;ES;2004;859
52;GO;2004;830
21;MA;2004;587
51;MT;2004;512
50;MS;2004;342
31;MG;2004;2686
14;RR;2004;63
42;SC;2004;92
35;SP;2004;4434
15;PA;2004;1274
41;PR;2004;495
26;PE;2004;3224
22;PI;2004;237
33;RJ;2004;4536
24;RN;2004;233
43;RS;2004;358
31;MG;2005;2658
12;AC;2005;79
15;PA;2005;1625
25;PB;2005;563
41;PR;2005;589
26;PE;2005;3291
22;PI;2005;266
33;RJ;2005;4385
24;RN;2005;248
43;RS;2005;385
