cod;nome;período;valor
13;AM;1996;0
16;AP;1996;0
29;BA;1996;0
23;CE;1996;0
53;DF;1996;0
32;ES;1996;0
52;GO;1996;0
21;MA;1996;0
27;AL;1996;0
12;AC;1996;0
51;MT;1996;0
50;MS;1996;0
31;MG;1996;0
15;PA;1996;0
25;PB;1996;0
41;PR;1996;0
26;PE;1996;0
22;PI;1996;0
33;RJ;1996;0
24;RN;1996;0
43;RS;1996;0
11;RO;1996;0
14;RR;1996;0
42;SC;1996;0
35;SP;1996;143
28;SE;1996;0
17;TO;1996;0
16;AP;1997;2
17;TO;1997;3
28;SE;1997;3
35;SP;1997;274
42;SC;1997;12
14;RR;1997;1
11;RO;1997;8
43;RS;1997;144
24;RN;1997;12
33;RJ;1997;250
12;AC;1997;0
22;PI;1997;3
26;PE;1997;33
41;PR;1997;36
25;PB;1997;1
15;PA;1997;2
31;MG;1997;49
50;MS;1997;0
51;MT;1997;21
21;MA;1997;8
52;GO;1997;13
32;ES;1997;16
53;DF;1997;10
23;CE;1997;7
29;BA;1997;4
13;AM;1997;4
27;AL;1997;4
41;PR;1998;117
26;PE;1998;60
22;PI;1998;5
33;RJ;1998;202
24;RN;1998;8
51;MT;1998;23
35;SP;1998;573
50;MS;1998;3
42;SC;1998;44
16;AP;1998;3
27;AL;1998;8
31;MG;1998;57
43;RS;1998;137
12;AC;1998;1
11;RO;1998;11
14;RR;1998;3
15;PA;1998;10
25;PB;1998;6
13;AM;1998;2
29;BA;1998;3
23;CE;1998;11
53;DF;1998;13
32;ES;1998;22
52;GO;1998;12
21;MA;1998;5
28;SE;1998;2
17;TO;1998;4
25;PB;1999;13
33;RJ;1999;232
52;GO;1999;40
43;RS;1999;134
16;AP;1999;1
14;RR;1999;8
27;AL;1999;7
42;SC;1999;42
11;RO;1999;12
35;SP;1999;644
51;MT;1999;23
28;SE;1999;7
50;MS;1999;19
17;TO;1999;3
31;MG;1999;69
15;PA;1999;1
12;AC;1999;3
22;PI;1999;0
26;PE;1999;55
32;ES;1999;22
53;DF;1999;15
41;PR;1999;126
21;MA;1999;3
23;CE;1999;19
29;BA;1999;9
13;AM;1999;4
24;RN;1999;7
32;ES;2000;23
50;MS;2000;38
28;SE;2000;5
42;SC;2000;40
29;BA;2000;15
13;AM;2000;6
43;RS;2000;147
27;AL;2000;10
24;RN;2000;11
14;RR;2000;10
23;CE;2000;29
12;AC;2000;5
17;TO;2000;5
33;RJ;2000;246
35;SP;2000;740
22;PI;2000;3
11;RO;2000;14
53;DF;2000;7
26;PE;2000;70
16;AP;2000;0
41;PR;2000;137
52;GO;2000;51
25;PB;2000;7
15;PA;2000;7
21;MA;2000;4
51;MT;2000;33
31;MG;2000;102
29;BA;2001;13
32;ES;2001;33
26;PE;2001;55
43;RS;2001;156
21;MA;2001;16
12;AC;2001;4
16;AP;2001;2
53;DF;2001;8
22;PI;2001;7
11;RO;2001;23
31;MG;2001;94
35;SP;2001;699
33;RJ;2001;206
23;CE;2001;21
17;TO;2001;9
14;RR;2001;1
24;RN;2001;5
13;AM;2001;8
28;SE;2001;6
51;MT;2001;33
27;AL;2001;11
50;MS;2001;29
42;SC;2001;41
25;PB;2001;9
52;GO;2001;42
41;PR;2001;169
15;PA;2001;20
27;AL;2002;7
13;AM;2002;7
29;BA;2002;15
12;AC;2002;3
23;CE;2002;16
53;DF;2002;13
32;ES;2002;29
52;GO;2002;50
21;MA;2002;7
28;SE;2002;7
43;RS;2002;162
51;MT;2002;37
50;MS;2002;41
31;MG;2002;120
15;PA;2002;10
25;PB;2002;7
41;PR;2002;167
26;PE;2002;75
22;PI;2002;6
11;RO;2002;12
33;RJ;2002;236
17;TO;2002;4
14;RR;2002;3
24;RN;2002;9
42;SC;2002;61
35;SP;2002;673
16;AP;2002;4
35;SP;2003;640
28;SE;2003;8
21;MA;2003;11
50;MS;2003;35
26;PE;2003;53
22;PI;2003;7
33;RJ;2003;228
53;DF;2003;14
15;PA;2003;15
31;MG;2003;152
51;MT;2003;34
29;BA;2003;18
27;AL;2003;5
24;RN;2003;14
43;RS;2003;152
11;RO;2003;22
14;RR;2003;1
23;CE;2003;10
12;AC;2003;6
16;AP;2003;2
52;GO;2003;45
13;AM;2003;5
25;PB;2003;4
32;ES;2003;42
