cod;nome;período;valor
22;PI;1996;0
26;PE;1996;1
32;ES;1996;0
25;PB;1996;0
15;PA;1996;1
51;MT;1996;0
50;MS;1996;0
11;RO;1996;0
24;RN;1996;0
53;DF;1996;0
23;CE;1996;0
29;BA;1996;0
16;AP;1996;0
13;AM;1996;0
27;AL;1996;0
12;AC;1996;1
42;SC;1996;1
28;SE;1996;0
35;SP;1996;1696
17;TO;1996;0
31;MG;1996;2
21;MA;1996;0
52;GO;1996;0
14;RR;1996;0
43;RS;1996;0
33;RJ;1996;1
41;PR;1996;0
51;MT;1997;113
31;MG;1997;311
21;MA;1997;41
52;GO;1997;81
32;ES;1997;121
53;DF;1997;83
23;CE;1997;62
29;BA;1997;18
16;AP;1997;15
13;AM;1997;40
27;AL;1997;47
25;PB;1997;27
26;PE;1997;347
22;PI;1997;16
41;PR;1997;364
33;RJ;1997;2468
24;RN;1997;66
11;RO;1997;40
35;SP;1997;2945
17;TO;1997;24
28;SE;1997;17
42;SC;1997;123
43;RS;1997;1225
14;RR;1997;6
12;AC;1997;7
15;PA;1997;30
50;MS;1997;3
53;DF;1998;86
32;ES;1998;178
17;TO;1998;37
52;GO;1998;84
35;SP;1998;6864
28;SE;1998;14
42;SC;1998;223
43;RS;1998;1156
16;AP;1998;11
13;AM;1998;28
27;AL;1998;55
12;AC;1998;11
21;MA;1998;34
31;MG;1998;420
50;MS;1998;13
51;MT;1998;200
15;PA;1998;66
25;PB;1998;31
26;PE;1998;545
22;PI;1998;20
41;PR;1998;944
33;RJ;1998;2452
24;RN;1998;45
11;RO;1998;83
14;RR;1998;23
29;BA;1998;47
23;CE;1998;108
25;PB;1999;47
12;AC;1999;15
27;AL;1999;54
13;AM;1999;38
16;AP;1999;11
29;BA;1999;97
23;CE;1999;164
53;DF;1999;98
32;ES;1999;230
52;GO;1999;188
21;MA;1999;41
31;MG;1999;437
50;MS;1999;156
51;MT;1999;223
15;PA;1999;67
26;PE;1999;583
22;PI;1999;18
41;PR;1999;1151
33;RJ;1999;2446
24;RN;1999;57
11;RO;1999;109
35;SP;1999;8367
17;TO;1999;46
28;SE;1999;39
42;SC;1999;259
43;RS;1999;1173
14;RR;1999;57
32;ES;2000;260
23;CE;2000;211
29;BA;2000;94
35;SP;2000;8850
43;RS;2000;1363
42;SC;2000;332
28;SE;2000;67
14;RR;2000;28
11;RO;2000;123
24;RN;2000;61
33;RJ;2000;2694
41;PR;2000;1379
22;PI;2000;36
26;PE;2000;546
25;PB;2000;59
15;PA;2000;95
17;TO;2000;57
16;AP;2000;12
13;AM;2000;48
27;AL;2000;102
12;AC;2000;49
51;MT;2000;336
50;MS;2000;297
31;MG;2000;643
21;MA;2000;60
52;GO;2000;320
53;DF;2000;104
51;MT;2001;309
17;TO;2001;69
35;SP;2001;9000
28;SE;2001;86
12;AC;2001;35
27;AL;2001;106
13;AM;2001;58
16;AP;2001;15
29;BA;2001;145
23;CE;2001;185
53;DF;2001;95
32;ES;2001;255
52;GO;2001;348
21;MA;2001;97
31;MG;2001;767
50;MS;2001;294
42;SC;2001;361
43;RS;2001;1498
14;RR;2001;22
11;RO;2001;201
24;RN;2001;63
33;RJ;2001;2514
41;PR;2001;1639
22;PI;2001;41
26;PE;2001;546
25;PB;2001;56
15;PA;2001;116
42;SC;2002;457
28;SE;2002;68
35;SP;2002;8285
52;GO;2002;411
21;MA;2002;97
31;MG;2002;903
50;MS;2002;325
51;MT;2002;320
15;PA;2002;137
25;PB;2002;51
26;PE;2002;534
22;PI;2002;43
41;PR;2002;1811
33;RJ;2002;2869
24;RN;2002;67
11;RO;2002;189
14;RR;2002;28
43;RS;2002;1564
53;DF;2002;93
23;CE;2002;142
29;BA;2002;149
16;AP;2002;18
12;AC;2002;46
27;AL;2002;106
13;AM;2002;60
17;TO;2002;43
32;ES;2002;290
14;RR;2003;22
11;RO;2003;171
24;RN;2003;95
15;PA;2003;152
51;MT;2003;300
50;MS;2003;303
29;BA;2003;158
31;MG;2003;1148
23;CE;2003;159
17;TO;2003;42
35;SP;2003;8127
28;SE;2003;62
42;SC;2003;494
43;RS;2003;1543
33;RJ;2003;2728
41;PR;2003;2078
22;PI;2003;34
26;PE;2003;546
25;PB;2003;48
21;MA;2003;120
52;GO;2003;346
32;ES;2003;335
53;DF;2003;109
12;AC;2003;41
27;AL;2003;63
13;AM;2003;52
16;AP;2003;11
24;RN;2004;65
26;PE;2004;444
25;PB;2004;45
15;PA;2004;157
51;MT;2004;273
50;MS;2004;269
31;MG;2004;1178
21;MA;2004;88
52;GO;2004;475
32;ES;2004;260
53;DF;2004;109
23;CE;2004;140
29;BA;2004;159
16;AP;2004;10
13;AM;2004;76
27;AL;2004;52
12;AC;2004;27
22;PI;2004;50
41;PR;2004;2233
33;RJ;2004;2537
11;RO;2004;164
14;RR;2004;16
43;RS;2004;1581
42;SC;2004;490
28;SE;2004;49
35;SP;2004;6530
17;TO;2004;49
13;AM;2005;73
12;AC;2005;31
32;ES;2005;243
52;GO;2005;408
21;MA;2005;138
31;MG;2005;1142
50;MS;2005;268
51;MT;2005;265
15;PA;2005;181
25;PB;2005;50
26;PE;2005;451
22;PI;2005;51
41;PR;2005;2279
33;RJ;2005;2443
24;RN;2005;75
11;RO;2005;148
17;TO;2005;41
35;SP;2005;5087
28;SE;2005;73
42;SC;2005;476
43;RS;2005;1601
14;RR;2005;20
53;DF;2005;95
23;CE;2005;154
29;BA;2005;172
16;AP;2005;22
27;AL;2005;69
51;MT;2006;241
17;TO;2006;38
28;SE;2006;85
35;SP;2006;4846
15;PA;2006;160
25;PB;2006;47
26;PE;2006;388
22;PI;2006;51
41;PR;2006;2531
33;RJ;2006;2436
24;RN;2006;81
11;RO;2006;145
14;RR;2006;43
43;RS;2006;1585
42;SC;2006;509
12;AC;2006;42
27;AL;2006;68
13;AM;2006;95
16;AP;2006;14
29;BA;2006;204
23;CE;2006;165
53;DF;2006;79
32;ES;2006;255
52;GO;2006;381
21;MA;2006;143
31;MG;2006;1242
50;MS;2006;294
42;SC;2007;510
12;AC;2007;34
27;AL;2007;76
13;AM;2007;45
16;AP;2007;21
29;BA;2007;260
23;CE;2007;213
53;DF;2007;107
32;ES;2007;277
52;GO;2007;392
21;MA;2007;157
