cod;nome;período;valor
28;SE;1979;22
27;AL;1979;131
26;PE;1979;297
25;PB;1979;71
24;RN;1979;46
23;CE;1979;85
22;PI;1979;7
52;GO;1979;163
21;MA;1979;34
17;TO;1979;0
16;AP;1979;5
15;PA;1979;117
14;RR;1979;2
13;AM;1979;55
12;AC;1979;13
11;RO;1979;50
53;DF;1979;28
51;MT;1979;2
50;MS;1979;62
43;RS;1979;193
42;SC;1979;79
41;PR;1979;379
35;SP;1979;570
33;RJ;1979;1726
32;ES;1979;82
31;MG;1979;435
29;BA;1979;116
11;RO;1980;67
12;AC;1980;12
13;AM;1980;46
14;RR;1980;0
15;PA;1980;169
16;AP;1980;2
17;TO;1980;0
21;MA;1980;29
22;PI;1980;6
23;CE;1980;159
32;ES;1980;122
33;RJ;1980;2093
35;SP;1980;699
41;PR;1980;367
42;SC;1980;119
43;RS;1980;227
50;MS;1980;118
51;MT;1980;22
52;GO;1980;226
53;DF;1980;21
24;RN;1980;77
25;PB;1980;127
26;PE;1980;613
27;AL;1980;148
28;SE;1980;30
29;BA;1980;139
31;MG;1980;466
23;CE;1981;187
53;DF;1981;81
52;GO;1981;268
51;MT;1981;38
50;MS;1981;147
43;RS;1981;237
42;SC;1981;105
41;PR;1981;451
35;SP;1981;958
33;RJ;1981;1774
32;ES;1981;130
31;MG;1981;374
29;BA;1981;124
28;SE;1981;36
27;AL;1981;190
26;PE;1981;758
25;PB;1981;133
24;RN;1981;80
22;PI;1981;23
21;MA;1981;54
17;TO;1981;0
16;AP;1981;4
15;PA;1981;171
14;RR;1981;2
13;AM;1981;52
12;AC;1981;8
11;RO;1981;67
11;RO;1982;79
12;AC;1982;18
13;AM;1982;58
14;RR;1982;1
15;PA;1982;176
16;AP;1982;8
17;TO;1982;0
21;MA;1982;62
52;GO;1982;226
51;MT;1982;24
50;MS;1982;154
43;RS;1982;256
42;SC;1982;86
41;PR;1982;488
35;SP;1982;926
33;RJ;1982;1575
32;ES;1982;114
31;MG;1982;346
29;BA;1982;211
28;SE;1982;34
