cod;nome;período;valor
53;DF;1989;331
11;RO;1989;490
12;AC;1989;95
13;AM;1989;321
14;RR;1989;113
15;PA;1989;666
16;AP;1989;39
17;TO;1989;63
21;MA;1989;411
22;PI;1989;142
23;CE;1989;607
24;RN;1989;236
25;PB;1989;461
26;PE;1989;2553
27;AL;1989;805
28;SE;1989;139
29;BA;1989;1086
31;MG;1989;1216
32;ES;1989;845
33;RJ;1989;4290
35;SP;1989;9179
41;PR;1989;1112
42;SC;1989;354
43;RS;1989;1561
50;MS;1989;371
51;MT;1989;471
52;GO;1989;810
43;RS;1990;1704
11;RO;1990;555
12;AC;1990;64
13;AM;1990;367
14;RR;1990;127
15;PA;1990;748
16;AP;1990;46
17;TO;1990;54
21;MA;1990;442
22;PI;1990;109
23;CE;1990;555
24;RN;1990;200
25;PB;1990;440
26;PE;1990;2742
27;AL;1990;719
28;SE;1990;151
29;BA;1990;867
31;MG;1990;1178
32;ES;1990;881
33;RJ;1990;7101
35;SP;1990;9503
41;PR;1990;1167
42;SC;1990;388
50;MS;1990;348
51;MT;1990;415
52;GO;1990;681
53;DF;1990;463
52;GO;1991;852
11;RO;1991;491
12;AC;1991;106
13;AM;1991;403
14;RR;1991;79
15;PA;1991;810
16;AP;1991;54
17;TO;1991;92
21;MA;1991;470
22;PI;1991;103
23;CE;1991;607
24;RN;1991;219
25;PB;1991;401
26;PE;1991;2944
27;AL;1991;665
28;SE;1991;317
29;BA;1991;596
31;MG;1991;1232
32;ES;1991;968
33;RJ;1991;5055
35;SP;1991;9685
41;PR;1991;1225
42;SC;1991;355
53;DF;1991;489
43;RS;1991;1694
50;MS;1991;388
51;MT;1991;452
26;PE;1992;2531
11;RO;1992;395
12;AC;1992;107
13;AM;1992;351
14;RR;1992;95
15;PA;1992;759
16;AP;1992;73
17;TO;1992;67
21;MA;1992;427
22;PI;1992;92
23;CE;1992;537
24;RN;1992;199
25;PB;1992;355
27;AL;1992;591
28;SE;1992;461
29;BA;1992;840
31;MG;1992;1131
32;ES;1992;839
33;RJ;1992;4536
35;SP;1992;9116
41;PR;1992;1092
42;SC;1992;361
43;RS;1992;1570
50;MS;1992;423
51;MT;1992;355
52;GO;1992;828
53;DF;1992;424
53;DF;1993;553
11;RO;1993;498
12;AC;1993;116
13;AM;1993;350
14;RR;1993;69
15;PA;1993;623
16;AP;1993;66
17;TO;1993;93
21;MA;1993;394
22;PI;1993;117
23;CE;1993;702
24;RN;1993;243
25;PB;1993;365
26;PE;1993;2763
27;AL;1993;619
28;SE;1993;312
29;BA;1993;1503
31;MG;1993;1211
32;ES;1993;1098
33;RJ;1993;5367
35;SP;1993;9224
41;PR;1993;1237
42;SC;1993;371
43;RS;1993;1177
50;MS;1993;457
51;MT;1993;356
52;GO;1993;734
43;RS;1994;1334
11;RO;1994;399
12;AC;1994;88
13;AM;1994;387
14;RR;1994;78
15;PA;1994;716
16;AP;1994;125
17;TO;1994;109
21;MA;1994;314
22;PI;1994;99
23;CE;1994;636
24;RN;1994;211
25;PB;1994;385
26;PE;1994;2593
27;AL;1994;615
28;SE;1994;344
29;BA;1994;1739
31;MG;1994;1118
32;ES;1994;1166
33;RJ;1994;6420
35;SP;1994;9981
41;PR;1994;1260
42;SC;1994;346
50;MS;1994;522
51;MT;1994;316
52;GO;1994;774
53;DF;1994;556
51;MT;1995;583
11;RO;1995;330
12;AC;1995;103
13;AM;1995;425
14;RR;1995;87
15;PA;1995;700
16;AP;1995;124
17;TO;1995;77
21;MA;1995;385
22;PI;1995;114
23;CE;1995;845
24;RN;1995;247
25;PB;1995;457
53;DF;1995;629
26;PE;1995;2706
27;AL;1995;742
28;SE;1995;255
29;BA;1995;1536
31;MG;1995;1214
32;ES;1995;1154
33;RJ;1995;8218
35;SP;1995;11555
41;PR;1995;1387
52;GO;1995;784
42;SC;1995;420
43;RS;1995;1439
50;MS;1995;636
26;PE;1996;3022
11;RO;1996;301
12;AC;1996;104
13;AM;1996;450
14;RR;1996;107
15;PA;1996;700
16;AP;1996;157
17;TO;1996;126
21;MA;1996;363
22;PI;1996;117
23;CE;1996;885
24;RN;1996;241
25;PB;1996;636
27;AL;1996;741
28;SE;1996;238
29;BA;1996;1883
31;MG;1996;1261
32;ES;1996;1191
33;RJ;1996;8034
35;SP;1996;12320
41;PR;1996;1379
42;SC;1996;412
43;RS;1996;1482
50;MS;1996;722
51;MT;1996;660
52;GO;1996;782
53;DF;1996;615
25;PB;1997;492
11;RO;1997;355
12;AC;1997;100
13;AM;1997;468
14;RR;1997;90
15;PA;1997;754
16;AP;1997;140
17;TO;1997;112
21;MA;1997;333
22;PI;1997;142
23;CE;1997;1026
24;RN;1997;235
26;PE;1997;3713
27;AL;1997;642
28;SE;1997;190
29;BA;1997;1981
31;MG;1997;1347
32;ES;1997;1416
33;RJ;1997;7954
35;SP;1997;12537
41;PR;1997;1581
42;SC;1997;423
43;RS;1997;1648
50;MS;1997;729
51;MT;1997;766
52;GO;1997;744
53;DF;1997;613
52;GO;1998;704
11;RO;1998;494
12;AC;1998;110
13;AM;1998;534
14;RR;1998;134
15;PA;1998;774
16;AP;1998;160
